check1 , exec , sml-mlton , 0 , 0.10 , 4080 , 76
closure , comp-exec , sml-smlnj , 0 , 2.30 , 10076 , 1904
closure , comp , sml-mlton , 0 , 12.12 , 10076 , 1896
closure , exec , sml-mlton , 0 , 0.20 , 10076 , 1728
confluence , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1860
confluence , comp , sml-mlton , 0 , 9.51 , 10076 , 1728
confluence , exec , sml-mlton , 0 , 0.10 , 4080 , 80
empty , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1924
empty , comp , sml-mlton , 0 , 9.41 , 10076 , 1848
empty , exec , sml-mlton , 0 , 0.10 , 4080 , 80
garbagecollection , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1732
garbagecollection , comp , sml-mlton , 0 , 9.61 , 10076 , 1912
garbagecollection , exec , sml-mlton , 0 , 0.10 , 4080 , 80
natlist , comp-exec , sml-smlnj , 0 , 0.90 , 10076 , 1892
natlist , comp , sml-mlton , 0 , 10.21 , 10076 , 1856
natlist , exec , sml-mlton , 0 , 0.10 , 4080 , 80
oddeven , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1772
oddeven , comp , sml-mlton , 0 , 9.51 , 10076 , 1792
oddeven , exec , sml-mlton , 0 , 0.10 , 4080 , 80
order , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1872
order , comp , sml-mlton , 0 , 9.41 , 10076 , 1852
order , exec , sml-mlton , 0 , 0.10 , 4080 , 76
revelt , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1924
revelt , comp , sml-mlton , 0 , 9.51 , 10076 , 1904
revelt , exec , sml-mlton , 0 , 0.10 , 4080 , 76
searchinconditions , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1924
searchinconditions , comp , sml-mlton , 0 , 9.41 , 10076 , 1856
searchinconditions , exec , sml-mlton , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1796
soundnessofparallelengines , comp , sml-mlton , 0 , 9.41 , 10076 , 1924
soundnessofparallelengines , exec , sml-mlton , 0 , 0.10 , 4080 , 80
tautologyhard , comp-exec , sml-smlnj , 0 , 0.30 , 10076 , 1852
tautologyhard , comp , sml-mlton , 0 , 9.61 , 10076 , 1896
tautologyhard , exec , sml-mlton , 0 , 0.10 , 4080 , 76
tricky , comp-exec , sml-smlnj , 0 , 0.20 , 10076 , 1916
tricky , comp , sml-mlton , 0 , 9.51 , 10076 , 1892
tricky , exec , sml-mlton , 0 , 0.10 , 4080 , 76
calls , comp , tom , 0 , 8.11 , 10076 , 1856
calls , exec , tom , 0 , 0.30 , 10076 , 1792
check1 , comp , tom , 0 , 4.81 , 10076 , 1924
check1 , exec , tom , 0 , 0.30 , 10076 , 1856
closure , comp , tom , 0 , 12.02 , 10076 , 1860
closure , exec , tom , 0 , 0.60 , 10076 , 1924
confluence , comp , tom , 0 , 5.21 , 10076 , 1724
confluence , exec , tom , 0 , 0.30 , 10076 , 1728
empty , comp , tom , 0 , 4.62 , 10076 , 1928
empty , exec , tom , 0 , 0.30 , 10076 , 1792
garbagecollection , comp , tom , 0 , 7.82 , 10076 , 1908
garbagecollection , exec , tom , 0 , 0.30 , 10076 , 1856
natlist , comp , tom , 1 , 6.02 , 10076 , 1848
oddeven , comp , tom , 0 , 6.01 , 10076 , 1912
oddeven , exec , tom , 0 , 0.30 , 10076 , 1860
order , comp , tom , 0 , 6.02 , 10076 , 1896
order , exec , tom , 0 , 0.30 , 10076 , 1900
revelt , comp , tom , 0 , 6.41 , 10076 , 1920
revelt , exec , tom , 0 , 0.30 , 10076 , 1856
searchinconditions , comp , tom , 0 , 5.61 , 10076 , 1860
searchinconditions , exec , tom , 0 , 0.30 , 10076 , 1792
soundnessofparallelengines , comp , tom , 0 , 5.32 , 10076 , 1860
soundnessofparallelengines , exec , tom , 0 , 0.30 , 10076 , 1924
tautologyhard , comp , tom , 0 , 12.72 , 10076 , 1760
tautologyhard , exec , tom , 0 , 0.30 , 10076 , 1796
tricky , comp , tom , 0 , 6.92 , 10076 , 1924
tricky , exec , tom , 0 , 0.30 , 10076 , 1728
