revelt , exec , ocaml-compil , 0 , 0.10 , 4080 , 80
searchinconditions , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
searchinconditions , exec , ocaml-interp , 0 , 0.10 , 4080 , 80
searchinconditions , comp , ocaml-compil , 0 , 0.20 , 10076 , 1912
searchinconditions , exec , ocaml-compil , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , comp , ocaml-interp , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
soundnessofparallelengines , comp , ocaml-compil , 0 , 0.20 , 10076 , 1916
soundnessofparallelengines , exec , ocaml-compil , 0 , 0.10 , 4080 , 84
tautologyhard , comp , ocaml-interp , 0 , 0.10 , 4080 , 80
tautologyhard , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
tautologyhard , comp , ocaml-compil , 0 , 0.30 , 10076 , 1924
tautologyhard , exec , ocaml-compil , 0 , 0.10 , 4080 , 80
tricky , comp , ocaml-interp , 0 , 0.10 , 4080 , 84
tricky , exec , ocaml-interp , 0 , 0.10 , 4080 , 84
tricky , comp , ocaml-compil , 0 , 0.20 , 10076 , 1940
tricky , exec , ocaml-compil , 0 , 0.10 , 4080 , 84
calls , comp , opal , 0 , 3.60 , 10076 , 1912
calls , exec , opal , 0 , 0.10 , 4080 , 84
check1 , comp , opal , 0 , 0.70 , 10076 , 1876
check1 , exec , opal , 0 , 0.10 , 4080 , 84
check2 , comp , opal , 0 , 0.70 , 10076 , 1864
check2 , exec , opal , 0 , 0.10 , 4080 , 84
confluence , comp , opal , 0 , 0.70 , 10076 , 1900
confluence , exec , opal , 0 , 0.10 , 4080 , 80
empty , comp , opal , 0 , 0.60 , 10076 , 1912
empty , exec , opal , 0 , 0.10 , 4080 , 84
fibonacci05 , comp , opal , 0 , 1.20 , 10076 , 1816
fibonacci05 , exec , opal , 0 , 0.10 , 4080 , 80
garbagecollection , comp , opal , 0 , 1.10 , 10076 , 1912
garbagecollection , exec , opal , 0 , 0.10 , 4080 , 84
hanoi4 , comp , opal , 0 , 1.40 , 10076 , 1924
hanoi4 , exec , opal , 0 , 0.10 , 4080 , 84
oddeven , comp , opal , 0 , 0.90 , 10076 , 1924
oddeven , exec , opal , 0 , 0.10 , 4080 , 80
order , comp , opal , 0 , 0.70 , 10076 , 1756
order , exec , opal , 0 , 0.10 , 4080 , 80
revelt , comp , opal , 0 , 0.80 , 10076 , 1900
revelt , exec , opal , 0 , 0.10 , 4080 , 80
searchinconditions , comp , opal , 0 , 0.60 , 10076 , 1932
searchinconditions , exec , opal , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , opal , 0 , 0.70 , 10076 , 1912
soundnessofparallelengines , exec , opal , 0 , 0.10 , 4080 , 80
tautologyhard , comp , opal , 0 , 1.10 , 10076 , 1940
tautologyhard , exec , opal , 0 , 0.10 , 4080 , 84
tricky , comp , opal , 0 , 1.20 , 10076 , 1924
tricky , exec , opal , 0 , 0.10 , 4080 , 80
calls , comp-exec , rascal-interp , 0 , 8.41 , 10076 , 1864
