order , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
order , comp , ocaml-compil , 0 , 0.20 , 3924 , 1672
order , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
revelt , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
revelt , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
revelt , comp , ocaml-compil , 0 , 0.20 , 3924 , 1760
revelt , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
searchinconditions , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
searchinconditions , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
searchinconditions , comp , ocaml-compil , 0 , 0.20 , 3924 , 1672
searchinconditions , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , ocaml-compil , 0 , 0.20 , 3924 , 1784
soundnessofparallelengines , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
tautologyhard , comp , ocaml-interp , 0 , 0.10 , 2020 , 60
tautologyhard , exec , ocaml-interp , 0 , 0.10 , 2020 , 56
tautologyhard , comp , ocaml-compil , 0 , 0.30 , 3924 , 1760
tautologyhard , exec , ocaml-compil , 0 , 0.10 , 2020 , 56
tricky , comp , ocaml-interp , 0 , 0.10 , 2020 , 56
tricky , exec , ocaml-interp , 0 , 0.10 , 2020 , 60
tricky , comp , ocaml-compil , 0 , 0.20 , 3924 , 1672
tricky , exec , ocaml-compil , 0 , 0.10 , 2020 , 60
calls , comp , opal , 0 , 3.40 , 3924 , 1784
calls , exec , opal , 0 , 0.10 , 2020 , 60
check1 , comp , opal , 0 , 0.80 , 3924 , 1672
check1 , exec , opal , 0 , 0.10 , 2020 , 56
check2 , comp , opal , 0 , 0.80 , 3924 , 1792
check2 , exec , opal , 0 , 0.10 , 2020 , 60
confluence , comp , opal , 0 , 0.80 , 3924 , 1760
confluence , exec , opal , 0 , 0.10 , 2020 , 56
empty , comp , opal , 0 , 0.70 , 3924 , 1796
empty , exec , opal , 0 , 0.10 , 2020 , 60
fibonacci05 , comp , opal , 0 , 1.40 , 3924 , 1800
fibonacci05 , exec , opal , 0 , 0.10 , 2020 , 52
garbagecollection , comp , opal , 0 , 1.20 , 3924 , 1788
garbagecollection , exec , opal , 0 , 0.10 , 2020 , 56
hanoi4 , comp , opal , 0 , 1.70 , 3924 , 1788
hanoi4 , exec , opal , 0 , 0.10 , 2020 , 60
oddeven , comp , opal , 0 , 1.00 , 3924 , 1744
oddeven , exec , opal , 0 , 0.10 , 2020 , 56
order , comp , opal , 0 , 0.80 , 3924 , 1880
order , exec , opal , 0 , 0.10 , 2020 , 56
revelt , comp , opal , 0 , 0.90 , 3924 , 1608
revelt , exec , opal , 0 , 0.10 , 2020 , 56
searchinconditions , comp , opal , 0 , 0.60 , 3924 , 1780
searchinconditions , exec , opal , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , opal , 0 , 0.90 , 3924 , 1800
soundnessofparallelengines , exec , opal , 0 , 0.10 , 2020 , 56
tautologyhard , comp , opal , 0 , 1.40 , 3924 , 1700
tautologyhard , exec , opal , 0 , 0.10 , 2020 , 60
tricky , comp , opal , 0 , 1.40 , 3924 , 1732
tricky , exec , opal , 0 , 0.10 , 2020 , 56
calls , comp-exec , rascal-interp , 0 , 4.30 , 3924 , 1836
calls , comp , rascal-compil , 0 , 23.04 , 3924 , 1736
calls , exec , rascal-compil , 0 , 2.70 , 3924 , 1736
check1 , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1796
check1 , comp , rascal-compil , 0 , 23.73 , 3924 , 1740
check1 , exec , rascal-compil , 0 , 2.70 , 3924 , 1700
check2 , comp-exec , rascal-interp , 0 , 4.61 , 3924 , 1800
check2 , comp , rascal-compil , 0 , 23.34 , 3924 , 1840
check2 , exec , rascal-compil , 0 , 2.71 , 3924 , 1672
confluence , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1836
confluence , comp , rascal-compil , 0 , 22.83 , 3924 , 1836
confluence , exec , rascal-compil , 0 , 2.60 , 3924 , 1612
empty , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1564
empty , comp , rascal-compil , 0 , 23.23 , 3924 , 1788
empty , exec , rascal-compil , 0 , 2.60 , 3924 , 1728
fibonacci05 , comp-exec , rascal-interp , 0 , 4.71 , 3924 , 1736
fibonacci05 , comp , rascal-compil , 0 , 23.37 , 3924 , 1676
fibonacci05 , exec , rascal-compil , 0 , 2.70 , 3924 , 1736
garbagecollection , comp-exec , rascal-interp , 0 , 4.51 , 3924 , 1788
garbagecollection , comp , rascal-compil , 0 , 26.53 , 3924 , 1748
garbagecollection , exec , rascal-compil , 0 , 2.71 , 3924 , 1796
hanoi4 , comp-exec , rascal-interp , 0 , 4.50 , 3924 , 1612
hanoi4 , comp , rascal-compil , 0 , 24.44 , 3924 , 1744
hanoi4 , exec , rascal-compil , 0 , 2.70 , 3924 , 1836
oddeven , comp-exec , rascal-interp , 0 , 32.44 , 3924 , 1740
oddeven , comp , rascal-compil , 0 , 23.73 , 3924 , 1876
oddeven , exec , rascal-compil , 0 , 3.20 , 3924 , 1800
order , comp-exec , rascal-interp , 0 , 4.41 , 3924 , 1788
order , comp , rascal-compil , 0 , 24.33 , 3924 , 1780
order , exec , rascal-compil , 0 , 2.60 , 3924 , 1736
revelt , comp-exec , rascal-interp , 0 , 4.50 , 3924 , 1672
revelt , comp , rascal-compil , 0 , 23.25 , 3924 , 1744
revelt , exec , rascal-compil , 0 , 2.70 , 3924 , 1800
searchinconditions , comp-exec , rascal-interp , 0 , 4.21 , 3924 , 1740
searchinconditions , comp , rascal-compil , 0 , 22.84 , 3924 , 1788
searchinconditions , exec , rascal-compil , 0 , 2.71 , 3924 , 1796
soundnessofparallelengines , comp-exec , rascal-interp , 0 , 4.31 , 3924 , 1608
soundnessofparallelengines , comp , rascal-compil , 0 , 22.52 , 3924 , 1736
soundnessofparallelengines , exec , rascal-compil , 0 , 2.60 , 3924 , 1780
tautologyhard , comp-exec , rascal-interp , 0 , 5.21 , 3924 , 1876
tautologyhard , comp , rascal-compil , 0 , 27.84 , 3924 , 1672
tautologyhard , exec , rascal-compil , 0 , 3.00 , 3924 , 1744
tricky , comp-exec , rascal-interp , 0 , 4.61 , 3924 , 1612
tricky , comp , rascal-compil , 0 , 23.23 , 3924 , 1744
tricky , exec , rascal-compil , 0 , 2.60 , 3924 , 1796
calls , comp , scala , 0 , 6.11 , 3924 , 1740
calls , exec , scala , 0 , 0.60 , 3924 , 1800
check1 , comp , scala , 0 , 6.11 , 3924 , 1764
check1 , exec , scala , 0 , 0.60 , 3924 , 1760
check2 , comp , scala , 0 , 6.71 , 3924 , 1780
check2 , exec , scala , 0 , 0.60 , 3924 , 1676
confluence , comp , scala , 0 , 6.01 , 3924 , 1740
confluence , exec , scala , 0 , 0.50 , 3924 , 1800
empty , comp , scala , 0 , 5.71 , 3924 , 1728
empty , exec , scala , 0 , 0.60 , 3924 , 1836
fibonacci05 , comp , scala , 0 , 6.61 , 3924 , 1792
fibonacci05 , exec , scala , 0 , 0.60 , 3924 , 1728
garbagecollection , comp , scala , 0 , 8.41 , 3924 , 1796
garbagecollection , exec , scala , 0 , 0.60 , 3924 , 1836
hanoi4 , comp , scala , 0 , 10.51 , 3924 , 1740
hanoi4 , exec , scala , 0 , 0.61 , 3924 , 1836
oddeven , comp , scala , 0 , 6.61 , 3924 , 1788
oddeven , exec , scala , 0 , 0.70 , 3924 , 1744
order , comp , scala , 0 , 6.11 , 3924 , 1880
order , exec , scala , 0 , 0.60 , 3924 , 1736
revelt , comp , scala , 0 , 7.61 , 3924 , 1744
revelt , exec , scala , 0 , 0.60 , 3924 , 1748
searchinconditions , comp , scala , 0 , 5.62 , 3924 , 1764
searchinconditions , exec , scala , 0 , 0.60 , 3924 , 1672
soundnessofparallelengines , comp , scala , 0 , 6.42 , 3924 , 1748
soundnessofparallelengines , exec , scala , 0 , 0.60 , 3924 , 1764
tautologyhard , comp , scala , 0 , 7.41 , 3924 , 1788
tautologyhard , exec , scala , 0 , 0.60 , 3924 , 1800
tricky , comp , scala , 0 , 6.32 , 3924 , 1740
tricky , exec , scala , 0 , 0.60 , 3924 , 1732
calls , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1796
calls , comp , sml-mlton , 0 , 6.21 , 3924 , 1876
calls , exec , sml-mlton , 0 , 0.10 , 2020 , 56
check1 , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1736
check1 , comp , sml-mlton , 0 , 6.21 , 3924 , 1760
check1 , exec , sml-mlton , 0 , 0.10 , 2020 , 56
check2 , comp-exec , sml-smlnj , 0 , 0.20 , 3924 , 1744
check2 , comp , sml-mlton , 0 , 6.30 , 3924 , 1760
check2 , exec , sml-mlton , 0 , 0.10 , 2020 , 56
