tak36 , comp , haskell , 0 , 1.30 , 3924 , 1728
tak36 , exec , haskell , 0 , 1.10 , 3924 , 1740
add8 , comp-exec , lnt , 0 , 97.21 , 3924 , 1664
add16 , comp-exec , lnt , 0 , 73.60 , 3924 , 1768
add32 , comp-exec , lnt , 0 , 114.91 , 3924 , 1868
benchexpr10 , comp-exec , lnt , 0 , 1.70 , 3924 , 1724
benchexpr20 , comp-exec , lnt , 0 , 3.20 , 3924 , 1660
benchexpr22 , comp-exec , lnt , 0 , 7.81 , 3924 , 1828
benchsym10 , comp-exec , lnt , 0 , 1.60 , 3924 , 1728
benchsym20 , comp-exec , lnt , 0 , 2.60 , 3924 , 1776
benchsym22 , comp-exec , lnt , 0 , 5.41 , 3924 , 1788
benchtree10 , comp-exec , lnt , 1 , 23.24 , 3924 , 1768
benchtree20 , comp-exec , lnt , 1 , 22.92 , 3924 , 1736
benchtree22 , comp-exec , lnt , 1 , 22.82 , 3924 , 1868
binarysearch , comp-exec , lnt , 0 , 7.31 , 3924 , 1824
bubblesort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1824
bubblesort20 , comp-exec , lnt , 0 , 1.30 , 3924 , 1824
bubblesort100 , comp-exec , lnt , 0 , 1.30 , 3924 , 1724
bubblesort720 , comp-exec , lnt , 0 , 1.80 , 3924 , 1868
bubblesort1000 , comp-exec , lnt , 0 , 2.50 , 3924 , 1780
closure , comp-exec , lnt , 0 , 2.60 , 3924 , 1824
dart , comp-exec , lnt , 0 , 1.40 , 3924 , 1724
evalexpr , comp-exec , lnt , 0 , 2.20 , 3924 , 1868
evalsym , comp-exec , lnt , 0 , 26.54 , 3924 , 1724
evaltree , comp-exec , lnt , 0 , 2.40 , 3924 , 1736
factorial5 , comp-exec , lnt , 0 , 1.20 , 3924 , 1596
factorial6 , comp-exec , lnt , 0 , 1.30 , 3924 , 1724
factorial7 , comp-exec , lnt , 0 , 1.20 , 3924 , 1788
factorial8 , comp-exec , lnt , 0 , 1.20 , 3924 , 1868
factorial9 , comp-exec , lnt , 0 , 1.30 , 3924 , 1740
fib32 , comp-exec , lnt , 0 , 4.20 , 3924 , 1768
fibfree , comp-exec , lnt , 0 , 2.00 , 3924 , 1768
fibonacci18 , comp-exec , lnt , 0 , 1.20 , 3924 , 1776
fibonacci19 , comp-exec , lnt , 0 , 1.20 , 3924 , 1732
fibonacci20 , comp-exec , lnt , 0 , 1.20 , 3924 , 1872
fibonacci21 , comp-exec , lnt , 0 , 1.20 , 3924 , 1728
hanoi8 , comp-exec , lnt , 0 , 1.30 , 3924 , 1736
hanoi12 , comp-exec , lnt , 0 , 1.30 , 3924 , 1764
hanoi16 , comp-exec , lnt , 0 , 1.50 , 3924 , 1724
hanoi20 , comp-exec , lnt , 139 , 6.31 , 3924 , 1664
intnat , comp-exec , lnt , 0 , 10.92 , 3924 , 1740
langton6 , comp-exec , lnt , 0 , 35.96 , 3924 , 1776
langton7 , comp-exec , lnt , 0 , 50.17 , 3924 , 1664
logic3 , comp-exec , lnt , 0 , 1.30 , 3924 , 1792
maa , comp-exec , lnt , 0 , 10.11 , 3924 , 1740
merge , comp-exec , lnt , 0 , 1.40 , 3924 , 1716
mergesort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1724
mergesort100 , comp-exec , lnt , 1 , 27.82 , 3924 , 1784
mergesort1000 , comp-exec , lnt , 1 , 27.62 , 3924 , 1676
missionaries2 , comp-exec , lnt , 0 , 1.60 , 3924 , 1728
missionaries3 , comp-exec , lnt , 0 , 1.60 , 3924 , 1728
mul8 , comp-exec , lnt , 0 , 29.43 , 3924 , 1868
mul16 , comp-exec , lnt , 0 , 47.37 , 3924 , 1596
mul32 , comp-exec , lnt , 0 , 77.91 , 3924 , 1600
natlist , comp-exec , lnt , 0 , 1.50 , 3924 , 1764
omul8 , comp-exec , lnt , 0 , 29.24 , 3924 , 1780
omul32 , comp-exec , lnt , 0 , 77.52 , 3924 , 1728
permutations6 , comp-exec , lnt , 0 , 1.40 , 3924 , 1768
permutations7 , comp-exec , lnt , 0 , 1.70 , 3924 , 1748
quicksort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1724
quicksort100 , comp-exec , lnt , 1 , 35.84 , 3924 , 1824
quicksort1000 , comp-exec , lnt , 1 , 35.46 , 3924 , 1732
revnat100 , comp-exec , lnt , 0 , 1.20 , 3924 , 1768
revnat1000 , comp-exec , lnt , 0 , 1.30 , 3924 , 1740
revnat10000 , comp-exec , lnt , 0 , 7.71 , 3924 , 1824
sieve20 , comp-exec , lnt , 0 , 1.40 , 3924 , 1600
sieve100 , comp-exec , lnt , 0 , 1.40 , 3924 , 1824
sieve1000 , comp-exec , lnt , 0 , 1.60 , 3924 , 1764
sieve2000 , comp-exec , lnt , 0 , 2.30 , 3924 , 1596
sieve10000 , comp-exec , lnt , 0 , 147.29 , 3924 , 1868
tak18 , comp-exec , lnt , 0 , 1.30 , 3924 , 1724
tak36 , comp-exec , lnt , 0 , 1.80 , 3924 , 1716
add8 , comp-exec , lotos , 0 , 75.30 , 3924 , 1736
add16 , comp-exec , lotos , 0 , 60.37 , 3924 , 1660
add32 , comp-exec , lotos , 0 , 94.61 , 3924 , 1736
benchexpr10 , comp-exec , lotos , 0 , 0.90 , 3924 , 1768
benchexpr20 , comp-exec , lotos , 0 , 2.50 , 3924 , 1776
benchexpr22 , comp-exec , lotos , 0 , 7.21 , 3924 , 1824
benchsym10 , comp-exec , lotos , 0 , 1.00 , 3924 , 1788
benchsym20 , comp-exec , lotos , 0 , 2.00 , 3924 , 1728
benchsym22 , comp-exec , lotos , 0 , 4.90 , 3924 , 1660
benchtree10 , comp-exec , lotos , 1 , 22.42 , 3924 , 1600
benchtree20 , comp-exec , lotos , 1 , 22.44 , 3924 , 1552
benchtree22 , comp-exec , lotos , 1 , 22.32 , 3924 , 1788
binarysearch , comp-exec , lotos , 0 , 6.71 , 3924 , 1828
