bubblesort20 , comp-exec , lnt , 0 , 1.30 , 3924 , 1720
bubblesort100 , comp-exec , lnt , 0 , 1.30 , 3924 , 1828
bubblesort720 , comp-exec , lnt , 0 , 1.80 , 3924 , 1748
bubblesort1000 , comp-exec , lnt , 0 , 2.40 , 3924 , 1748
dart , comp-exec , lnt , 0 , 1.30 , 3924 , 1748
evalexpr , comp-exec , lnt , 0 , 2.20 , 3924 , 1828
evalsym , comp-exec , lnt , 0 , 26.42 , 3924 , 1596
evaltree , comp-exec , lnt , 0 , 2.50 , 3924 , 1788
factorial5 , comp-exec , lnt , 0 , 1.20 , 3924 , 1664
factorial6 , comp-exec , lnt , 0 , 1.20 , 3924 , 1552
factorial7 , comp-exec , lnt , 0 , 1.20 , 3924 , 1724
factorial8 , comp-exec , lnt , 0 , 1.20 , 3924 , 1824
factorial9 , comp-exec , lnt , 0 , 1.20 , 3924 , 1788
fib32 , comp-exec , lnt , 0 , 4.10 , 3924 , 1824
fibfree , comp-exec , lnt , 0 , 2.00 , 3924 , 1596
fibonacci05 , comp-exec , lnt , 0 , 1.20 , 3924 , 1728
fibonacci18 , comp-exec , lnt , 0 , 1.20 , 3924 , 1732
fibonacci19 , comp-exec , lnt , 0 , 1.20 , 3924 , 1596
fibonacci20 , comp-exec , lnt , 0 , 1.20 , 3924 , 1872
fibonacci21 , comp-exec , lnt , 0 , 1.20 , 3924 , 1596
hanoi4 , comp-exec , lnt , 0 , 1.30 , 3924 , 1824
langton6 , comp-exec , lnt , 0 , 35.73 , 3924 , 1736
langton7 , comp-exec , lnt , 0 , 49.94 , 3924 , 1748
logic3 , comp-exec , lnt , 0 , 1.30 , 3924 , 1772
merge , comp-exec , lnt , 0 , 1.40 , 3924 , 1796
mergesort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1724
mergesort100 , comp-exec , lnt , 1 , 27.32 , 3924 , 1776
mergesort1000 , comp-exec , lnt , 1 , 27.22 , 3924 , 1724
missionaries2 , comp-exec , lnt , 0 , 1.60 , 3924 , 1556
missionaries3 , comp-exec , lnt , 0 , 1.60 , 3924 , 1596
permutations6 , comp-exec , lnt , 0 , 1.40 , 3924 , 1748
permutations7 , comp-exec , lnt , 0 , 1.70 , 3924 , 1768
quicksort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1776
quicksort100 , comp-exec , lnt , 1 , 37.63 , 3924 , 1600
quicksort1000 , comp-exec , lnt , 1 , 38.93 , 3924 , 1828
revnat100 , comp-exec , lnt , 0 , 1.20 , 3924 , 1596
revnat1000 , comp-exec , lnt , 0 , 1.30 , 3924 , 1784
revnat10000 , comp-exec , lnt , 0 , 7.71 , 3924 , 1788
sieve20 , comp-exec , lnt , 0 , 1.40 , 3924 , 1724
sieve100 , comp-exec , lnt , 0 , 1.40 , 3924 , 1752
sieve1000 , comp-exec , lnt , 0 , 1.50 , 3924 , 1792
sieve2000 , comp-exec , lnt , 0 , 2.00 , 3924 , 1780
sieve10000 , comp-exec , lnt , 0 , 81.47 , 3924 , 1748
tak18 , comp-exec , lnt , 0 , 1.20 , 3924 , 1748
tak36 , comp-exec , lnt , 0 , 1.80 , 3924 , 1752
benchexpr10 , comp-exec , lotos , 0 , 0.90 , 3924 , 1732
benchexpr20 , comp-exec , lotos , 0 , 2.60 , 3924 , 1768
benchexpr22 , comp-exec , lotos , 0 , 7.11 , 3924 , 1704
benchsym10 , comp-exec , lotos , 0 , 0.90 , 3924 , 1720
benchsym20 , comp-exec , lotos , 0 , 1.90 , 3924 , 1732
benchsym22 , comp-exec , lotos , 0 , 4.91 , 3924 , 1796
benchtree10 , comp-exec , lotos , 1 , 22.12 , 3924 , 1764
benchtree20 , comp-exec , lotos , 1 , 22.22 , 3924 , 1768
benchtree22 , comp-exec , lotos , 1 , 23.12 , 3924 , 1764
binarysearch , comp-exec , lotos , 0 , 3.50 , 3924 , 1784
bubblesort10 , comp-exec , lotos , 0 , 0.60 , 3924 , 1828
bubblesort20 , comp-exec , lotos , 0 , 0.70 , 3924 , 1724
bubblesort100 , comp-exec , lotos , 0 , 0.70 , 3924 , 1768
bubblesort720 , comp-exec , lotos , 0 , 1.00 , 3924 , 1824
bubblesort1000 , comp-exec , lotos , 0 , 1.70 , 3924 , 1724
dart , comp-exec , lotos , 0 , 0.70 , 3924 , 1664
evalexpr , comp-exec , lotos , 0 , 1.50 , 3924 , 1788
evalsym , comp-exec , lotos , 0 , 26.42 , 3924 , 1764
evaltree , comp-exec , lotos , 0 , 1.70 , 3924 , 1716
factorial5 , comp-exec , lotos , 0 , 0.60 , 3924 , 1596
factorial6 , comp-exec , lotos , 0 , 0.70 , 3924 , 1732
factorial7 , comp-exec , lotos , 0 , 0.60 , 3924 , 1728
factorial8 , comp-exec , lotos , 0 , 0.60 , 3924 , 1764
factorial9 , comp-exec , lotos , 0 , 0.60 , 3924 , 1768
fib32 , comp-exec , lotos , 0 , 3.70 , 3924 , 1784
fibfree , comp-exec , lotos , 0 , 1.30 , 3924 , 1596
fibonacci05 , comp-exec , lotos , 0 , 0.60 , 3924 , 1872
fibonacci18 , comp-exec , lotos , 0 , 0.60 , 3924 , 1780
fibonacci19 , comp-exec , lotos , 0 , 0.60 , 3924 , 1600
fibonacci20 , comp-exec , lotos , 0 , 0.60 , 3924 , 1596
fibonacci21 , comp-exec , lotos , 0 , 0.60 , 3924 , 1736
hanoi4 , comp-exec , lotos , 0 , 0.70 , 3924 , 1868
langton6 , comp-exec , lotos , 0 , 34.13 , 3924 , 1660
langton7 , comp-exec , lotos , 0 , 48.04 , 3924 , 1776
logic3 , comp-exec , lotos , 0 , 0.60 , 3924 , 1788
merge , comp-exec , lotos , 0 , 0.70 , 3924 , 1768
mergesort10 , comp-exec , lotos , 0 , 0.70 , 3924 , 1828
mergesort100 , comp-exec , lotos , 1 , 27.12 , 3924 , 1684
mergesort1000 , comp-exec , lotos , 1 , 28.82 , 3924 , 1728
missionaries2 , comp-exec , lotos , 0 , 0.90 , 3924 , 1772
missionaries3 , comp-exec , lotos , 0 , 0.90 , 3924 , 1776
permutations6 , comp-exec , lotos , 0 , 0.80 , 3924 , 1596
permutations7 , comp-exec , lotos , 0 , 1.00 , 3924 , 1728
quicksort10 , comp-exec , lotos , 0 , 0.60 , 3924 , 1768
quicksort100 , comp-exec , lotos , 1 , 33.93 , 3924 , 1600
quicksort1000 , comp-exec , lotos , 1 , 33.93 , 3924 , 1764
revnat100 , comp-exec , lotos , 0 , 0.60 , 3924 , 1732
revnat1000 , comp-exec , lotos , 0 , 0.70 , 3924 , 1764
revnat10000 , comp-exec , lotos , 0 , 7.01 , 3924 , 1824
sieve20 , comp-exec , lotos , 0 , 0.70 , 3924 , 1732
sieve100 , comp-exec , lotos , 0 , 0.70 , 3924 , 1728
sieve1000 , comp-exec , lotos , 0 , 0.80 , 3924 , 1824
sieve2000 , comp-exec , lotos , 0 , 1.70 , 3924 , 1768
sieve10000 , comp-exec , lotos , 0 , 103.19 , 3924 , 1868
tak18 , comp-exec , lotos , 0 , 0.60 , 3924 , 1828
tak36 , comp-exec , lotos , 0 , 1.30 , 3924 , 1728
benchexpr10 , comp-exec , maude , 0 , 0.10 , 2020 , 52
benchexpr20 , comp-exec , maude , 0 , 7.11 , 3924 , 1868
benchexpr22 , comp-exec , maude , 0 , 28.02 , 3924 , 1792
benchsym10 , comp-exec , maude , 0 , 0.20 , 3924 , 1824
benchsym20 , comp-exec , maude , 0 , 5.30 , 3924 , 1720
benchsym22 , comp-exec , maude , 0 , 20.62 , 3924 , 1788
benchtree10 , comp-exec , maude , 0 , 0.20 , 3924 , 1788
benchtree20 , comp-exec , maude , 0 , 15.41 , 3924 , 1792
benchtree22 , comp-exec , maude , kill-6 , 48.64 , 3924 , 1776
binarysearch , comp-exec , maude , 1 , 50.14 , 3924 , 1772
bubblesort10 , comp-exec , maude , 0 , 0.20 , 3924 , 1768
bubblesort20 , comp-exec , maude , 0 , 0.10 , 2020 , 56
bubblesort100 , comp-exec , maude , 0 , 0.20 , 3924 , 1788
bubblesort720 , comp-exec , maude , 0 , 8.41 , 3924 , 1752
bubblesort1000 , comp-exec , maude , 0 , 21.52 , 3924 , 1768
dart , comp-exec , maude , 0 , 0.30 , 3924 , 1716
evalexpr , comp-exec , maude , 0 , 17.51 , 3924 , 1732
evalsym , comp-exec , maude , timeout , 360.10 , 3924 , 1776
evaltree , comp-exec , maude , 0 , 45.84 , 3924 , 1776
factorial5 , comp-exec , maude , 0 , 0.20 , 3924 , 1716
factorial6 , comp-exec , maude , 0 , 0.20 , 3924 , 1788
factorial7 , comp-exec , maude , 0 , 0.20 , 3924 , 1828
factorial8 , comp-exec , maude , 0 , 0.20 , 3924 , 1776
factorial9 , comp-exec , maude , 1 , 0.30 , 3924 , 1716
fib32 , comp-exec , maude , 0 , 50.34 , 3924 , 1760
fibfree , comp-exec , maude , 0 , 0.20 , 3924 , 1732
fibonacci05 , comp-exec , maude , 0 , 0.20 , 3924 , 1724
fibonacci18 , comp-exec , maude , 0 , 0.20 , 3924 , 1780
fibonacci19 , comp-exec , maude , 0 , 0.20 , 3924 , 1788
fibonacci20 , comp-exec , maude , 0 , 0.20 , 3924 , 1596
fibonacci21 , comp-exec , maude , 0 , 0.20 , 3924 , 1868
hanoi4 , comp-exec , maude , 0 , 0.20 , 3924 , 1824
langton6 , comp-exec , maude , 1 , 323.16 , 3924 , 1732
langton7 , comp-exec , maude , timeout , 360.10 , 3924 , 1824
logic3 , comp-exec , maude , 0 , 0.20 , 3924 , 1856
merge , comp-exec , maude , 0 , 0.20 , 3924 , 1776
mergesort10 , comp-exec , maude , 0 , 0.20 , 3924 , 1748
mergesort100 , comp-exec , maude , 0 , 0.20 , 3924 , 1772
mergesort1000 , comp-exec , maude , 0 , 1.40 , 3924 , 1728
missionaries2 , comp-exec , maude , 0 , 0.20 , 3924 , 1716
missionaries3 , comp-exec , maude , 0 , 0.20 , 3924 , 1660
permutations6 , comp-exec , maude , 0 , 0.20 , 3924 , 1764
permutations7 , comp-exec , maude , 0 , 1.00 , 3924 , 1732
quicksort10 , comp-exec , maude , 0 , 0.10 , 2020 , 52
quicksort100 , comp-exec , maude , 0 , 0.20 , 3924 , 1788
quicksort1000 , comp-exec , maude , 0 , 41.84 , 3924 , 1676
revnat100 , comp-exec , maude , 0 , 0.10 , 2020 , 52
revnat1000 , comp-exec , maude , 0 , 0.60 , 3924 , 1784
revnat10000 , comp-exec , maude , 0 , 47.24 , 3924 , 1788
sieve20 , comp-exec , maude , 0 , 0.20 , 3924 , 1780
sieve100 , comp-exec , maude , 0 , 0.20 , 3924 , 1720
sieve1000 , comp-exec , maude , 0 , 1.50 , 3924 , 1776
sieve2000 , comp-exec , maude , 0 , 8.31 , 3924 , 1660
sieve10000 , comp-exec , maude , timeout , 360.10 , 3924 , 1868
tak18 , comp-exec , maude , 0 , 0.40 , 3924 , 1688
tak36 , comp-exec , maude , 0 , 15.01 , 3924 , 1600
benchexpr10 , comp , mcrl2-default , 0 , 0.20 , 3924 , 1764
benchexpr10 , exec , mcrl2-default , 0 , 0.10 , 2020 , 52
benchexpr10 , comp , mcrl2-jittyc , 0 , 0.20 , 3924 , 1688
benchexpr10 , exec , mcrl2-jittyc , 0 , 15.21 , 3924 , 1592
benchexpr20 , comp , mcrl2-default , 0 , 0.20 , 3924 , 1724
benchexpr20 , exec , mcrl2-default , 0 , 49.94 , 3924 , 1600
benchexpr20 , comp , mcrl2-jittyc , 0 , 0.20 , 3924 , 1600
benchexpr20 , exec , mcrl2-jittyc , 0 , 16.91 , 3924 , 1784
benchexpr22 , comp , mcrl2-default , 0 , 0.20 , 3924 , 1768
benchexpr22 , exec , mcrl2-default , 0 , 202.37 , 3924 , 1776
benchexpr22 , comp , mcrl2-jittyc , 0 , 0.20 , 3924 , 1776
benchexpr22 , exec , mcrl2-jittyc , 0 , 21.52 , 3924 , 1764
benchsym10 , comp , mcrl2-default , 0 , 0.20 , 3924 , 1768
benchsym10 , exec , mcrl2-default , 0 , 0.20 , 3924 , 1788
benchsym10 , comp , mcrl2-jittyc , 0 , 0.20 , 3924 , 1824
benchsym10 , exec , mcrl2-jittyc , 0 , 15.41 , 3924 , 1752
benchsym20 , comp , mcrl2-default , 0 , 0.20 , 3924 , 1688
benchsym20 , exec , mcrl2-default , 0 , 61.95 , 3924 , 1664
benchsym20 , comp , mcrl2-jittyc , 0 , 0.20 , 3924 , 1828
benchsym20 , exec , mcrl2-jittyc , 0 , 16.91 , 3924 , 1788
benchsym22 , comp , mcrl2-default , 0 , 0.20 , 3924 , 1748
benchsym22 , exec , mcrl2-default , 0 , 246.30 , 3924 , 1720
benchsym22 , comp , mcrl2-jittyc , 0 , 0.20 , 3924 , 1724
benchsym22 , exec , mcrl2-jittyc , 0 , 21.12 , 3924 , 1596
