hanoi16 , comp-exec , lnt , 0 , 1.40 , 3924 , 1780
hanoi20 , comp-exec , lnt , 139 , 6.11 , 3924 , 1788
intnat , comp-exec , lnt , 0 , 11.43 , 3924 , 1764
langton6 , comp-exec , lnt , 0 , 35.95 , 3924 , 1788
langton7 , comp-exec , lnt , 0 , 50.04 , 3924 , 1776
logic3 , comp-exec , lnt , 0 , 1.20 , 3924 , 1776
maa , comp-exec , lnt , 0 , 10.31 , 3924 , 1596
merge , comp-exec , lnt , 0 , 1.40 , 3924 , 1828
mergesort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1776
mergesort100 , comp-exec , lnt , 1 , 27.84 , 3924 , 1660
mergesort1000 , comp-exec , lnt , 1 , 27.74 , 3924 , 1776
missionaries2 , comp-exec , lnt , 0 , 1.60 , 3924 , 1780
missionaries3 , comp-exec , lnt , 0 , 1.60 , 3924 , 1720
mul8 , comp-exec , lnt , 0 , 29.43 , 3924 , 1716
mul16 , comp-exec , lnt , 0 , 47.85 , 3924 , 1768
mul32 , comp-exec , lnt , 0 , 77.88 , 3924 , 1788
natlist , comp-exec , lnt , 0 , 1.50 , 3924 , 1776
omul8 , comp-exec , lnt , 0 , 29.83 , 3924 , 1776
omul32 , comp-exec , lnt , 0 , 78.01 , 3924 , 1768
permutations6 , comp-exec , lnt , 0 , 1.40 , 3924 , 1724
permutations7 , comp-exec , lnt , 0 , 1.70 , 3924 , 1664
quicksort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1788
quicksort100 , comp-exec , lnt , 1 , 35.45 , 3924 , 1768
quicksort1000 , comp-exec , lnt , 1 , 36.16 , 3924 , 1748
revnat100 , comp-exec , lnt , 0 , 1.40 , 3924 , 1748
revnat1000 , comp-exec , lnt , 0 , 1.30 , 3924 , 1788
revnat10000 , comp-exec , lnt , 0 , 7.71 , 3924 , 1780
sieve20 , comp-exec , lnt , 0 , 1.40 , 3924 , 1692
sieve100 , comp-exec , lnt , 0 , 1.40 , 3924 , 1736
sieve1000 , comp-exec , lnt , 0 , 1.50 , 3924 , 1828
sieve2000 , comp-exec , lnt , 0 , 2.30 , 3924 , 1776
sieve10000 , comp-exec , lnt , 0 , 154.02 , 3924 , 1784
tak18 , comp-exec , lnt , 0 , 1.32 , 3924 , 1772
tak36 , comp-exec , lnt , 0 , 1.90 , 3924 , 1784
add8 , comp-exec , lotos , 0 , 75.00 , 3924 , 1784
add16 , comp-exec , lotos , 0 , 60.56 , 3924 , 1768
add32 , comp-exec , lotos , 0 , 94.41 , 3924 , 1788
benchexpr10 , comp-exec , lotos , 0 , 0.90 , 3924 , 1776
benchexpr20 , comp-exec , lotos , 0 , 2.40 , 3924 , 1748
benchexpr22 , comp-exec , lotos , 0 , 7.31 , 3924 , 1780
benchsym10 , comp-exec , lotos , 0 , 0.90 , 3924 , 1660
benchsym20 , comp-exec , lotos , 0 , 1.90 , 3924 , 1764
benchsym22 , comp-exec , lotos , 0 , 4.90 , 3924 , 1868
benchtree10 , comp-exec , lotos , 1 , 22.44 , 3924 , 1596
benchtree20 , comp-exec , lotos , 1 , 22.32 , 3924 , 1748
benchtree22 , comp-exec , lotos , 1 , 22.54 , 3924 , 1724
binarysearch , comp-exec , lotos , 0 , 6.81 , 3924 , 1600
bubblesort10 , comp-exec , lotos , 0 , 0.70 , 3924 , 1828
bubblesort20 , comp-exec , lotos , 0 , 0.60 , 3924 , 1868
bubblesort100 , comp-exec , lotos , 0 , 0.60 , 3924 , 1868
bubblesort720 , comp-exec , lotos , 0 , 1.10 , 3924 , 1768
bubblesort1000 , comp-exec , lotos , 0 , 1.70 , 3924 , 1868
dart , comp-exec , lotos , 0 , 0.70 , 3924 , 1780
evalexpr , comp-exec , lotos , 0 , 1.50 , 3924 , 1684
evalsym , comp-exec , lotos , 0 , 25.63 , 3924 , 1600
evaltree , comp-exec , lotos , 0 , 1.70 , 3924 , 1752
factorial5 , comp-exec , lotos , 0 , 0.60 , 3924 , 1868
factorial6 , comp-exec , lotos , 0 , 0.60 , 3924 , 1752
factorial7 , comp-exec , lotos , 0 , 0.61 , 3924 , 1872
factorial8 , comp-exec , lotos , 0 , 0.60 , 3924 , 1788
factorial9 , comp-exec , lotos , 0 , 0.60 , 3924 , 1768
fib32 , comp-exec , lotos , 0 , 3.50 , 3924 , 1828
fibfree , comp-exec , lotos , 0 , 1.40 , 3924 , 1748
fibonacci05 , comp-exec , lotos , 0 , 0.60 , 3924 , 1764
fibonacci18 , comp-exec , lotos , 0 , 0.60 , 3924 , 1716
fibonacci19 , comp-exec , lotos , 0 , 0.60 , 3924 , 1764
fibonacci20 , comp-exec , lotos , 0 , 0.60 , 3924 , 1664
fibonacci21 , comp-exec , lotos , 0 , 0.60 , 3924 , 1788
hanoi8 , comp-exec , lotos , 0 , 0.70 , 3924 , 1716
hanoi12 , comp-exec , lotos , 0 , 0.70 , 3924 , 1772
hanoi16 , comp-exec , lotos , 0 , 0.80 , 3924 , 1768
hanoi20 , comp-exec , lotos , 139 , 5.51 , 3924 , 1596
intnat , comp-exec , lotos , 0 , 8.81 , 3924 , 1748
langton6 , comp-exec , lotos , 0 , 34.35 , 3924 , 1780
langton7 , comp-exec , lotos , 0 , 47.96 , 3924 , 1772
logic3 , comp-exec , lotos , 0 , 0.60 , 3924 , 1732
maa , comp-exec , lotos , 0 , 7.71 , 3924 , 1768
merge , comp-exec , lotos , 0 , 0.70 , 3924 , 1736
mergesort10 , comp-exec , lotos , 0 , 0.60 , 3924 , 1716
mergesort100 , comp-exec , lotos , 1 , 27.15 , 3924 , 1776
mergesort1000 , comp-exec , lotos , 1 , 27.15 , 3924 , 1764
missionaries2 , comp-exec , lotos , 0 , 0.90 , 3924 , 1596
missionaries3 , comp-exec , lotos , 0 , 0.90 , 3924 , 1780
mul8 , comp-exec , lotos , 0 , 22.64 , 3924 , 1660
mul16 , comp-exec , lotos , 0 , 37.97 , 3924 , 1724
mul32 , comp-exec , lotos , 0 , 62.19 , 3924 , 1732
natlist , comp-exec , lotos , 0 , 0.80 , 3924 , 1736
omul8 , comp-exec , lotos , 0 , 22.62 , 3924 , 1664
omul32 , comp-exec , lotos , 0 , 62.49 , 3924 , 1728
permutations6 , comp-exec , lotos , 0 , 0.80 , 3924 , 1780
permutations7 , comp-exec , lotos , 0 , 1.00 , 3924 , 1776
quicksort10 , comp-exec , lotos , 0 , 0.60 , 3924 , 1792
quicksort100 , comp-exec , lotos , 1 , 34.53 , 3924 , 1660
quicksort1000 , comp-exec , lotos , 1 , 34.43 , 3924 , 1736
revnat100 , comp-exec , lotos , 0 , 0.70 , 3924 , 1776
revnat1000 , comp-exec , lotos , 0 , 0.70 , 3924 , 1724
revnat10000 , comp-exec , lotos , 0 , 7.11 , 3924 , 1720
sieve20 , comp-exec , lotos , 0 , 0.70 , 3924 , 1724
sieve100 , comp-exec , lotos , 0 , 0.80 , 3924 , 1776
sieve1000 , comp-exec , lotos , 0 , 0.90 , 3924 , 1736
sieve2000 , comp-exec , lotos , 0 , 1.70 , 3924 , 1776
sieve10000 , comp-exec , lotos , 0 , 146.72 , 3924 , 1680
tak18 , comp-exec , lotos , 0 , 0.70 , 3924 , 1872
tak36 , comp-exec , lotos , 0 , 1.30 , 3924 , 1664
add8 , comp-exec , maude , 0 , 2.10 , 3924 , 1776
add16 , comp-exec , maude , 0 , 1.60 , 3924 , 1784
add32 , comp-exec , maude , 0 , 3.10 , 3924 , 1664
benchexpr10 , comp-exec , maude , 0 , 0.20 , 3924 , 1736
benchexpr20 , comp-exec , maude , 0 , 7.21 , 3924 , 1868
benchexpr22 , comp-exec , maude , 0 , 28.04 , 3924 , 1788
benchsym10 , comp-exec , maude , 0 , 0.20 , 3924 , 1728
benchsym20 , comp-exec , maude , 0 , 5.20 , 3924 , 1748
benchsym22 , comp-exec , maude , 0 , 20.52 , 3924 , 1716
benchtree10 , comp-exec , maude , 0 , 0.20 , 3924 , 1708
benchtree20 , comp-exec , maude , 0 , 15.41 , 3924 , 1596
benchtree22 , comp-exec , maude , kill-6 , 48.19 , 3924 , 1784
binarysearch , comp-exec , maude , 0 , 107.65 , 3924 , 1828
