tak36 , comp-exec , lnt , 0 , 2.00 , 10076 , 1704
benchexpr10 , comp-exec , lotos , 0 , 1.00 , 10076 , 1832
benchexpr20 , comp-exec , lotos , 0 , 2.50 , 10076 , 1772
benchexpr22 , comp-exec , lotos , 0 , 7.21 , 10076 , 1732
benchsym10 , comp-exec , lotos , 0 , 1.00 , 10076 , 1740
benchsym20 , comp-exec , lotos , 0 , 1.80 , 10076 , 1740
benchsym22 , comp-exec , lotos , 0 , 4.50 , 10076 , 1840
benchtree10 , comp-exec , lotos , timeout , 142.15 , 10076 , 1696
benchtree20 , comp-exec , lotos , timeout , 142.13 , 10076 , 1640
benchtree22 , comp-exec , lotos , timeout , 142.09 , 10076 , 1856
binarysearch , comp-exec , lotos , 0 , 5.61 , 10076 , 1760
bubblesort10 , comp-exec , lotos , 0 , 0.70 , 10076 , 1704
bubblesort20 , comp-exec , lotos , 0 , 0.70 , 10076 , 1872
bubblesort100 , comp-exec , lotos , 0 , 0.70 , 10076 , 1772
bubblesort720 , comp-exec , lotos , 0 , 1.10 , 10076 , 1772
bubblesort1000 , comp-exec , lotos , 0 , 1.80 , 10076 , 1704
dart , comp-exec , lotos , 0 , 0.80 , 10076 , 1872
evalexpr , comp-exec , lotos , 0 , 1.50 , 10076 , 1772
evalsym , comp-exec , lotos , 0 , 24.32 , 10076 , 1788
evaltree , comp-exec , lotos , 0 , 1.90 , 10076 , 1876
factorial5 , comp-exec , lotos , 0 , 0.70 , 10076 , 1704
factorial6 , comp-exec , lotos , 0 , 0.70 , 10076 , 1788
factorial7 , comp-exec , lotos , 0 , 0.70 , 10076 , 1712
factorial8 , comp-exec , lotos , 0 , 0.70 , 10076 , 1840
factorial9 , comp-exec , lotos , 0 , 0.70 , 10076 , 1772
fib32 , comp-exec , lotos , 0 , 3.10 , 10076 , 1828
fibfree , comp-exec , lotos , 0 , 1.30 , 10076 , 1712
fibonacci05 , comp-exec , lotos , 0 , 0.70 , 10076 , 1836
