benchsym10 , exec , mcrl2-jittyc , 15.32 , 14716 , 10192
benchsym20 , comp , mcrl2 , 0.20 , 14164 , 9952
benchsym20 , exec , mcrl2 , 61.86 , 14428 , 9740
benchsym20 , comp , mcrl2-jittyc , 0.20 , 14164 , 9864
benchsym20 , exec , mcrl2-jittyc , 16.93 , 14736 , 10536
benchsym22 , comp , mcrl2 , 0.20 , 14164 , 10004
benchsym22 , exec , mcrl2 , 248.62 , 14472 , 9848
benchsym22 , comp , mcrl2-jittyc , 0.20 , 14164 , 10028
benchsym22 , exec , mcrl2-jittyc , 21.12 , 14672 , 10612
benchtree10 , comp , mcrl2 , 0.20 , 14164 , 9876
benchtree10 , exec , mcrl2 , timed out after 2500
benchtree10 , comp , mcrl2-jittyc , 0.20 , 14164 , 10608
benchtree10 , exec , mcrl2-jittyc , 425.86 , 14632 , 10644
benchtree20 , comp , mcrl2 , 0.20 , 14164 , 10032
benchtree20 , exec , mcrl2 , timed out after 2500
benchtree20 , comp , mcrl2-jittyc , 0.20 , 14164 , 9896
benchtree20 , exec , mcrl2-jittyc , timed out after 2500
benchtree22 , comp , mcrl2 , 0.20 , 14164 , 10012
benchtree22 , exec , mcrl2 , timed out after 2500
benchtree22 , comp , mcrl2-jittyc , 0.20 , 14164 , 9844
benchtree22 , exec , mcrl2-jittyc , timed out after 2500
binarysearch , comp , mcrl2 , 0.20 , 13492 , 10212
binarysearch , exec , mcrl2 , 268.12 , 14412 , 9472
binarysearch , comp , mcrl2-jittyc , 0.20 , 13492 , 10356
binarysearch , exec , mcrl2-jittyc , timed out after 2500
bubblesort1000 , comp , mcrl2 , 0.10 , 2020 , 56
bubblesort1000 , exec , mcrl2 , 338.49 , 18092 , 12792
bubblesort1000 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
bubblesort1000 , exec , mcrl2-jittyc , 19.02 , 17216 , 12556
bubblesort100 , comp , mcrl2 , 0.20 , 12552 , 8352
bubblesort100 , exec , mcrl2 , 0.50 , 14440 , 9704
bubblesort100 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
bubblesort100 , exec , mcrl2-jittyc , 11.01 , 14360 , 10020
bubblesort10 , comp , mcrl2 , 0.10 , 2020 , 52
bubblesort10 , exec , mcrl2 , 0.10 , 2020 , 52
bubblesort10 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
bubblesort10 , exec , mcrl2-jittyc , 10.81 , 14360 , 10096
bubblesort20 , comp , mcrl2 , 0.10 , 2020 , 52
bubblesort20 , exec , mcrl2 , 0.10 , 2020 , 52
bubblesort20 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
bubblesort20 , exec , mcrl2-jittyc , 10.81 , 14360 , 10100
bubblesort720 , comp , mcrl2 , 0.20 , 2020 , 56
bubblesort720 , exec , mcrl2 , 117.00 , 16564 , 11672
bubblesort720 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
bubblesort720 , exec , mcrl2-jittyc , 14.61 , 15948 , 11520
dart , comp , mcrl2 , 0.20 , 13012 , 9708
dart , exec , mcrl2 , failed with exit status 1
dart , comp , mcrl2-jittyc , 0.10 , 2020 , 52
dart , exec , mcrl2-jittyc , failed with exit status 1
evalexpr , comp , mcrl2 , 0.20 , 13228 , 9876
evalexpr , exec , mcrl2 , 94.58 , 14368 , 9844
evalexpr , comp , mcrl2-jittyc , 0.20 , 13228 , 9672
evalexpr , exec , mcrl2-jittyc , 15.22 , 14556 , 10356
evalsym , comp , mcrl2 , 0.10 , 2020 , 52
evalsym , exec , mcrl2 , timed out after 2500
evalsym , comp , mcrl2-jittyc , 0.10 , 2020 , 56
evalsym , exec , mcrl2-jittyc , 56.45 , 14544 , 10492
evaltree , comp , mcrl2 , 0.20 , 12952 , 9456
evaltree , exec , mcrl2 , 251.02 , 14416 , 9768
evaltree , comp , mcrl2-jittyc , 0.20 , 12952 , 9476
evaltree , exec , mcrl2-jittyc , 267.03 , 14484 , 10392
factorial5 , comp , mcrl2 , 0.10 , 2020 , 52
factorial5 , exec , mcrl2 , 0.10 , 2020 , 52
factorial5 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial5 , exec , mcrl2-jittyc , 9.31 , 14312 , 9928
factorial6 , comp , mcrl2 , 0.10 , 2020 , 52
factorial6 , exec , mcrl2 , 0.10 , 2020 , 52
factorial6 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial6 , exec , mcrl2-jittyc , 9.31 , 14312 , 9964
factorial7 , comp , mcrl2 , 0.10 , 2020 , 52
factorial7 , exec , mcrl2 , 0.20 , 19532 , 14964
factorial7 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial7 , exec , mcrl2-jittyc , 9.41 , 14380 , 10096
factorial8 , comp , mcrl2 , 0.10 , 2020 , 52
factorial8 , exec , mcrl2 , failed with exit status 1
factorial8 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial8 , exec , mcrl2-jittyc , failed with exit status 1
factorial9 , comp , mcrl2 , 0.10 , 2020 , 52
factorial9 , exec , mcrl2 , failed with exit status 1
factorial9 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial9 , exec , mcrl2-jittyc , failed with exit status 1
fib32 , comp , mcrl2 , 0.20 , 13228 , 9064
fib32 , exec , mcrl2 , 267.83 , 14280 , 9348
fib32 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fib32 , exec , mcrl2-jittyc , 22.92 , 14604 , 10316
fibfree , comp , mcrl2 , 0.30 , 15560 , 12380
fibfree , exec , mcrl2 , 0.10 , 2020 , 56
fibfree , comp , mcrl2-jittyc , 0.20 , 15560 , 9808
fibfree , exec , mcrl2-jittyc , 17.42 , 14556 , 10092
fibonacci05 , comp , mcrl2 , 0.10 , 2020 , 52
fibonacci05 , exec , mcrl2 , 0.10 , 2020 , 52
fibonacci05 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
fibonacci05 , exec , mcrl2-jittyc , 10.93 , 14356 , 10248
fibonacci18 , comp , mcrl2 , 0.10 , 2020 , 56
fibonacci18 , exec , mcrl2 , 0.20 , 16848 , 12240
fibonacci18 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fibonacci18 , exec , mcrl2-jittyc , 9.42 , 14312 , 9900
fibonacci19 , comp , mcrl2 , 0.10 , 2020 , 52
fibonacci19 , exec , mcrl2 , 0.20 , 16852 , 12264
fibonacci19 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
fibonacci19 , exec , mcrl2-jittyc , 9.41 , 15484 , 11132
fibonacci20 , comp , mcrl2 , 0.10 , 2020 , 56
fibonacci20 , exec , mcrl2 , 0.30 , 21256 , 16724
fibonacci20 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
