asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
binarysearch , comp-exec , lnt , failed with exit status 1
mergesort , comp , ocaml , 0.10 , 2020 , 56
mergesort , exec , ocaml , timed out after 2500
missionariescannibals , comp , ocaml , 0.20 , 8216 , 5608
missionariescannibals , exec , ocaml , failed with exit status 2
oddeven , comp , ocaml , 0.10 , 2020 , 56
oddeven , exec , ocaml , 0.20 , 5792 , 988
permutations , comp , ocaml , 0.10 , 2020 , 52
permutations , exec , ocaml , failed with exit status 2
quicksort , comp , ocaml , 0.10 , 2020 , 52
quicksort , exec , ocaml , timed out after 2500
revelt , comp , ocaml , 0.10 , 2020 , 52
revelt , exec , ocaml , 0.10 , 2020 , 56
revnat , comp , ocaml , 0.10 , 2020 , 56
revnat , exec , ocaml , 93.58 , 6680 , 4392
sieve , comp , ocaml , 0.20 , 8216 , 5696
sieve , exec , ocaml , failed with exit status 2
tak , comp , ocaml , 0.10 , 2020 , 56
tak , exec , ocaml , 0.20 , 5796 , 1768
tautologyhard , comp , ocaml , 0.20 , 7972 , 5608
tautologyhard , exec , ocaml , 0.10 , 2020 , 52
asfsdfbenchmark , comp , opal , timed out after 2500
binarysearch , comp , opal , 2.60 , 2272 , 628
binarysearch , exec , opal , failed with exit status 1
bubblesort , comp , opal , 324.07 , 2272 , 604
bubblesort , exec , opal , 11.21 , 198916 , 197332
closure , comp , opal , 788.86 , 2272 , 572
closure , exec , opal , 0.20 , 4968 , 3188
dart , comp , opal , 1.80 , 2272 , 616
dart , exec , opal , failed with exit status 1
evalexpr , comp , opal , 2.60 , 2272 , 620
evalexpr , exec , opal , failed with exit status 1
evalsym , comp , opal , 2.41 , 2272 , 616
evalsym , exec , opal , 96.88 , 4364 , 1168
evaltree , comp , opal , 2.00 , 2272 , 572
evaltree , exec , opal , 4.40 , 79928 , 78040
factorial6 , comp , opal , 0.90 , 2272 , 632
factorial6 , exec , opal , 0.10 , 2020 , 56
factorial7 , comp , opal , 0.80 , 2272 , 580
factorial7 , exec , opal , 0.10 , 2020 , 52
factorial8 , comp , opal , 0.80 , 2272 , 572
factorial8 , exec , opal , 0.20 , 23184 , 21504
factorial9 , comp , opal , 0.80 , 2272 , 632
factorial9 , exec , opal , failed with exit status 1
fib32 , comp , opal , 2.30 , 2272 , 584
fib32 , exec , opal , failed with exit status 1
fibfree , comp , opal , 6.11 , 2272 , 616
fibfree , exec , opal , 0.10 , 2020 , 52
fibonacci , comp , opal , 1.00 , 2272 , 620
fibonacci , exec , opal , failed with exit status 1
garbagecollection , comp , opal , 1.20 , 2272 , 584
garbagecollection , exec , opal , 0.10 , 2020 , 56
hanoi , comp , opal , 1.60 , 2272 , 584
hanoi , exec , opal , 0.10 , 2020 , 52
langton , comp , opal , 16.52 , 2272 , 628
langton , exec , opal , 172.15 , 57416 , 55960
logic3 , comp , opal , 0.90 , 2272 , 584
logic3 , exec , opal , 0.10 , 2020 , 52
merge , comp , opal , 2.10 , 2272 , 616
merge , exec , opal , 0.10 , 2020 , 52
mergesort , comp , opal , 1.70 , 2272 , 616
mergesort , exec , opal , 1.60 , 195064 , 193360
missionariescannibals , comp , opal , 3.60 , 2272 , 588
missionariescannibals , exec , opal , failed with exit status 1
oddeven , comp , opal , 1.10 , 2272 , 604
oddeven , exec , opal , 0.10 , 2020 , 52
permutations , comp , opal , 1.60 , 2272 , 600
permutations , exec , opal , failed with exit status 1
quicksort , comp , opal , 1.50 , 2272 , 608
quicksort , exec , opal , 20.72 , 195060 , 193336
revelt , comp , opal , 0.90 , 2272 , 624
revelt , exec , opal , 0.10 , 2020 , 56
revnat , comp , opal , 1.10 , 2272 , 620
revnat , exec , opal , failed with exit status 1
sieve , comp , opal , 3.11 , 2272 , 628
sieve , exec , opal , failed with exit status 1
tak , comp , opal , 1.30 , 2272 , 612
tak , exec , opal , 0.10 , 2020 , 56
tautologyhard , comp , opal , 1.40 , 2272 , 592
tautologyhard , exec , opal , 0.10 , 2020 , 56
asfsdfbenchmark , comp-exec , rascal , failed with exit status 1
binarysearch , comp-exec , rascal , failed with exit status 1
bubblesort , comp-exec , rascal , failed with exit status 1
closure , comp-exec , rascal , failed with exit status 1
dart , comp-exec , rascal , failed with exit status 1
evalexpr , comp-exec , rascal , failed with exit status 1
evalsym , comp-exec , rascal , failed with exit status 1
evaltree , comp-exec , rascal , failed with exit status 1
factorial6 , comp-exec , rascal , failed with exit status 1
factorial7 , comp-exec , rascal , failed with exit status 1
factorial8 , comp-exec , rascal , failed with exit status 1
factorial9 , comp-exec , rascal , failed with exit status 1
fib32 , comp-exec , rascal , failed with exit status 1
fibfree , comp-exec , rascal , failed with exit status 1
fibonacci , comp-exec , rascal , failed with exit status 1
garbagecollection , comp-exec , rascal , failed with exit status 1
hanoi , comp-exec , rascal , failed with exit status 1
langton , comp-exec , rascal , failed with exit status 1
logic3 , comp-exec , rascal , failed with exit status 1
merge , comp-exec , rascal , failed with exit status 1
mergesort , comp-exec , rascal , failed with exit status 1
missionariescannibals , comp-exec , rascal , failed with exit status 1
oddeven , comp-exec , rascal , failed with exit status 1
permutations , comp-exec , rascal , failed with exit status 1
quicksort , comp-exec , rascal , failed with exit status 1
revelt , comp-exec , rascal , failed with exit status 1
revnat , comp-exec , rascal , failed with exit status 1
sieve , comp-exec , rascal , failed with exit status 1
tak , comp-exec , rascal , failed with exit status 1
tautologyhard , comp-exec , rascal , failed with exit status 1
asfsdfbenchmark , comp , scala , 17.63 , 5136 , 2860
asfsdfbenchmark , exec , scala , timed out after 2500
binarysearch , comp , scala , 12.83 , 5136 , 2964
binarysearch , exec , scala , failed with exit status 1
bubblesort , exec , scala , failed with exit status 1
closure , comp , scala , 13.54 , 5136 , 2964
closure , exec , scala , 1.00 , 1311500 , 40924
dart , comp , scala , 9.73 , 5136 , 2968
dart , exec , scala , failed with exit status 1
evalexpr , comp , scala , 13.12 , 5136 , 2796
evalexpr , exec , scala , failed with exit status 1
evalsym , comp , scala , 11.63 , 5136 , 3036
evalsym , exec , scala , 35.13 , 1316684 , 372952
evaltree , comp , scala , 10.83 , 5136 , 2972
evaltree , exec , scala , 5.61 , 1314248 , 417724
factorial6 , comp , scala , 7.61 , 5136 , 2864
factorial6 , exec , scala , failed with exit status 1
factorial7 , comp , scala , 7.42 , 5136 , 2892
factorial7 , exec , scala , failed with exit status 1
factorial8 , comp , scala , 6.91 , 5136 , 2900
factorial8 , exec , scala , failed with exit status 1
factorial9 , comp , scala , 7.71 , 5136 , 2844
factorial9 , exec , scala , failed with exit status 1
fib32 , comp , scala , 11.41 , 5136 , 2984
fib32 , exec , scala , failed with exit status 1
fibfree , comp , scala , 20.93 , 5136 , 2796
fibfree , exec , scala , 0.70 , 1310512 , 29956
fibonacci , comp , scala , 7.82 , 5136 , 2968
fibonacci , exec , scala , failed with exit status 1
garbagecollection , comp , scala , 8.62 , 5136 , 2796
garbagecollection , exec , scala , 0.70 , 1310376 , 28328
hanoi , comp , scala , 11.42 , 5136 , 3040
hanoi , exec , scala , 0.70 , 1310448 , 28448
langton , comp , scala , 182.28 , 5136 , 2972
langton , exec , scala , failed with exit status 1
logic3 , comp , scala , 8.21 , 5136 , 3040
logic3 , exec , scala , 0.60 , 1310376 , 27176
merge , comp , scala , 9.42 , 5136 , 2892
merge , exec , scala , 0.70 , 1310480 , 27524
mergesort , comp , scala , 9.51 , 5136 , 2796
mergesort , exec , scala , timed out after 2500
missionariescannibals , comp , scala , 13.42 , 5136 , 2864
missionariescannibals , exec , scala , failed with exit status 1
oddeven , comp , scala , 7.92 , 5136 , 2796
oddeven , exec , scala , 0.80 , 1310376 , 27952
permutations , comp , scala , 8.61 , 5136 , 2796
permutations , exec , scala , failed with exit status 1
quicksort , comp , scala , 9.72 , 5136 , 2896
quicksort , exec , scala , timed out after 2500
revelt , comp , scala , 8.42 , 5136 , 2972
revelt , exec , scala , 0.71 , 1310376 , 28820
revnat , comp , scala , 8.01 , 5136 , 3036
revnat , exec , scala , failed with exit status 1
sieve , comp , scala , 12.01 , 5136 , 2972
sieve , exec , scala , failed with exit status 1
tak , comp , scala , 8.71 , 5136 , 3040
tak , exec , scala , 1.10 , 1317872 , 37780
tautologyhard , comp , scala , 7.91 , 5136 , 2900
tautologyhard , exec , scala , 0.70 , 1310480 , 28468
asfsdfbenchmark , comp-exec , sml-smlnj , timed out after 2500
asfsdfbenchmark , comp , sml-mlton , 6.61 , 2272 , 584
asfsdfbenchmark , exec , sml-mlton , timed out after 2500
binarysearch , comp-exec , sml-smlnj , failed with exit status 1
binarysearch , comp , sml-mlton , failed with exit status 1
bubblesort , comp-exec , sml-smlnj , 4.21 , 2272 , 604
bubblesort , comp , sml-mlton , 6.71 , 2272 , 616
bubblesort , exec , sml-mlton , 2.30 , 4232 , 2372
closure , comp-exec , sml-smlnj , 2.10 , 2272 , 620
closure , comp , sml-mlton , 7.81 , 2272 , 632
closure , exec , sml-mlton , 0.20 , 4116 , 2412
dart , comp-exec , sml-smlnj , failed with exit status 1
dart , comp , sml-mlton , 6.41 , 2272 , 588
dart , exec , sml-mlton , failed with exit status 1
evalexpr , comp-exec , sml-smlnj , timed out after 2500
evalexpr , comp , sml-mlton , 6.41 , 2272 , 628
evalexpr , exec , sml-mlton , failed with exit status 1
evalsym , comp-exec , sml-smlnj , 13.53 , 2272 , 628
evalsym , comp , sml-mlton , 6.41 , 2272 , 612
evalsym , exec , sml-mlton , 4.41 , 3436 , 1632
evaltree , comp-exec , sml-smlnj , 2.81 , 2272 , 628
evaltree , comp , sml-mlton , 6.21 , 2272 , 620
evaltree , exec , sml-mlton , 0.30 , 3372 , 1712
factorial6 , comp-exec , sml-smlnj , 0.30 , 2272 , 572
factorial6 , comp , sml-mlton , 6.21 , 2272 , 592
factorial6 , exec , sml-mlton , 0.10 , 2020 , 56
factorial7 , comp-exec , sml-smlnj , 0.20 , 2272 , 588
factorial7 , comp , sml-mlton , 6.31 , 2272 , 604
factorial7 , exec , sml-mlton , 0.10 , 2020 , 52
factorial8 , comp-exec , sml-smlnj , 0.50 , 2272 , 616
factorial8 , comp , sml-mlton , 6.21 , 2272 , 596
factorial8 , exec , sml-mlton , 0.30 , 6916 , 4868
factorial9 , comp-exec , sml-smlnj , 2.60 , 2272 , 572
