asfsdfbenchmark , comp-exec , lotos , failed with exit status 1
tautologyhard , comp , mcrl2-jittyc , 0.10 , 2020 , 52
tautologyhard , exec , mcrl2-jittyc , 10.92 , 14364 , 9944
asfsdfbenchmark , comp , ocaml , 0.20 , 8216 , 5600
asfsdfbenchmark , exec , ocaml , timed out after 2500
binarysearch , comp , ocaml , 0.20 , 8216 , 5608
binarysearch , exec , ocaml , failed with exit status 2
bubblesort , comp , ocaml , 0.30 , 9024 , 6840
bubblesort , exec , ocaml , 9.61 , 5956 , 2836
closure , comp , ocaml , 0.60 , 10968 , 8296
closure , exec , ocaml , 0.41 , 5728 , 2692
dart , comp , ocaml , 0.20 , 7972 , 5452
dart , exec , ocaml , failed with exit status 2
evalexpr , comp , ocaml , 0.20 , 8216 , 5720
evalexpr , exec , ocaml , failed with exit status 2
evalsym , comp , ocaml , 0.20 , 8216 , 5604
evalsym , exec , ocaml , 61.46 , 5796 , 2680
evaltree , comp , ocaml , 0.10 , 2020 , 52
evaltree , exec , ocaml , 4.10 , 47140 , 41476
factorial6 , comp , ocaml , 0.10 , 2020 , 56
factorial6 , exec , ocaml , 0.10 , 2020 , 52
factorial7 , comp , ocaml , 0.10 , 2020 , 52
factorial7 , exec , ocaml , 0.10 , 2020 , 56
factorial8 , comp , ocaml , 0.10 , 2020 , 56
factorial8 , exec , ocaml , 0.10 , 2020 , 56
factorial9 , comp , ocaml , 0.10 , 2020 , 52
factorial9 , exec , ocaml , failed with exit status 2
fib32 , comp , ocaml , 0.20 , 8216 , 5748
fib32 , exec , ocaml , failed with exit status 2
fibfree , comp , ocaml , 0.40 , 8960 , 6436
fibfree , exec , ocaml , 0.10 , 2020 , 52
fibonacci , comp , ocaml , 0.10 , 2020 , 56
fibonacci , exec , ocaml , failed with exit status 2
garbagecollection , comp , ocaml , 0.10 , 2020 , 52
garbagecollection , exec , ocaml , 0.10 , 2020 , 56
hanoi , comp , ocaml , 0.10 , 2020 , 52
hanoi , exec , ocaml , 0.10 , 2020 , 56
langton , comp , ocaml , 2.40 , 10828 , 8472
langton , exec , ocaml , 347.09 , 17444 , 12356
logic3 , comp , ocaml , 0.10 , 2020 , 52
logic3 , exec , ocaml , 0.10 , 2020 , 52
merge , comp , ocaml , 0.10 , 2020 , 56
merge , exec , ocaml , 0.10 , 2020 , 52
mergesort , comp , ocaml , 0.10 , 2020 , 52
mergesort , exec , ocaml , timed out after 2500
missionariescannibals , comp , ocaml , 0.20 , 8216 , 5544
missionariescannibals , exec , ocaml , failed with exit status 2
oddeven , comp , ocaml , 0.10 , 2020 , 52
oddeven , exec , ocaml , 0.20 , 5792 , 988
permutations , comp , ocaml , 0.10 , 2020 , 56
permutations , exec , ocaml , failed with exit status 2
quicksort , comp , ocaml , 0.10 , 2020 , 56
quicksort , exec , ocaml , timed out after 2500
revelt , comp , ocaml , 0.10 , 2020 , 52
revelt , exec , ocaml , 0.10 , 2020 , 52
revnat , comp , ocaml , 0.10 , 2020 , 56
revnat , exec , ocaml , 93.28 , 6680 , 4392
sieve , comp , ocaml , 0.20 , 8216 , 5720
sieve , exec , ocaml , failed with exit status 2
tak , comp , ocaml , 0.10 , 2020 , 56
tak , exec , ocaml , 0.10 , 2020 , 56
tautologyhard , comp , ocaml , 0.20 , 8216 , 5604
tautologyhard , exec , ocaml , 0.10 , 2020 , 52
asfsdfbenchmark , comp , opal , timed out after 2500
binarysearch , comp , opal , 2.60 , 2272 , 616
binarysearch , exec , opal , failed with exit status 1
bubblesort , comp , opal , 323.07 , 2272 , 616
bubblesort , exec , opal , 11.11 , 198916 , 197332
closure , comp , opal , 788.96 , 2272 , 572
closure , exec , opal , 0.10 , 2020 , 52
dart , comp , opal , 1.80 , 2272 , 612
dart , exec , opal , failed with exit status 1
evalexpr , comp , opal , 2.70 , 2272 , 628
evalexpr , exec , opal , failed with exit status 1
evalsym , comp , opal , 2.50 , 2272 , 584
evalsym , exec , opal , 96.98 , 4364 , 1228
evaltree , comp , opal , 2.10 , 2272 , 616
evaltree , exec , opal , 4.50 , 79520 , 77740
factorial6 , comp , opal , 0.80 , 2272 , 572
factorial6 , exec , opal , 0.10 , 2020 , 56
factorial7 , comp , opal , 0.80 , 2272 , 624
factorial7 , exec , opal , 0.10 , 2020 , 52
factorial8 , comp , opal , 0.81 , 2272 , 612
factorial8 , exec , opal , 0.20 , 23056 , 21524
factorial9 , comp , opal , 0.80 , 2272 , 628
factorial9 , exec , opal , failed with exit status 1
fib32 , comp , opal , 2.20 , 2272 , 604
fib32 , exec , opal , failed with exit status 1
fibfree , comp , opal , 6.21 , 2272 , 628
fibfree , exec , opal , 0.10 , 2020 , 52
fibonacci , comp , opal , 1.01 , 2272 , 620
fibonacci , exec , opal , failed with exit status 1
garbagecollection , comp , opal , 1.20 , 2272 , 616
garbagecollection , exec , opal , 0.10 , 2020 , 52
hanoi , comp , opal , 1.60 , 2272 , 572
hanoi , exec , opal , 0.10 , 2020 , 52
langton , comp , opal , 16.71 , 2272 , 596
langton , exec , opal , 180.75 , 57820 , 56256
logic3 , comp , opal , 0.80 , 2272 , 628
logic3 , exec , opal , 0.10 , 2020 , 52
merge , comp , opal , 2.10 , 2272 , 628
merge , exec , opal , 0.10 , 2020 , 52
mergesort , comp , opal , 1.60 , 2272 , 612
mergesort , exec , opal , 1.60 , 195060 , 193336
missionariescannibals , comp , opal , 3.60 , 2272 , 624
missionariescannibals , exec , opal , failed with exit status 1
oddeven , comp , opal , 1.00 , 2272 , 580
oddeven , exec , opal , 0.10 , 2020 , 52
permutations , comp , opal , 1.60 , 2272 , 588
permutations , exec , opal , failed with exit status 1
quicksort , comp , opal , 1.61 , 2272 , 576
quicksort , exec , opal , 20.92 , 195060 , 193344
revelt , comp , opal , 0.90 , 2272 , 604
revelt , exec , opal , 0.10 , 2020 , 52
revnat , comp , opal , 1.10 , 2272 , 620
revnat , exec , opal , failed with exit status 1
sieve , comp , opal , 3.20 , 2272 , 572
sieve , exec , opal , failed with exit status 1
tak , comp , opal , 1.30 , 2272 , 576
tak , exec , opal , 0.10 , 2020 , 56
tautologyhard , comp , opal , 1.40 , 2272 , 572
tautologyhard , exec , opal , 0.10 , 2020 , 52
asfsdfbenchmark , comp-exec , rascal , timed out after 2500
binarysearch , comp-exec , rascal , failed with exit status 1
bubblesort , comp-exec , rascal , 1874.14 , 1565012 , 458836
closure , comp-exec , rascal , 44.65 , 1566688 , 451792
dart , comp-exec , rascal , failed with exit status 1
evalexpr , comp-exec , rascal , failed with exit status 1
evalsym , comp-exec , rascal , timed out after 2500
evaltree , comp-exec , rascal , 659.33 , 1563940 , 606232
factorial6 , comp-exec , rascal , 4.81 , 1592872 , 117540
factorial7 , comp-exec , rascal , 5.11 , 1563412 , 142052
factorial8 , comp-exec , rascal , 5.91 , 1566828 , 160972
factorial9 , comp-exec , rascal , failed with exit status 1
fib32 , comp-exec , rascal , failed with exit status 1
fibfree , comp-exec , rascal , 7.12 , 1562428 , 213660
fibonacci , comp-exec , rascal , failed with exit status 1
garbagecollection , comp-exec , rascal , 4.82 , 1560176 , 124628
hanoi , comp-exec , rascal , 4.61 , 1595872 , 128452
langton , comp-exec , rascal , timed out after 2500
logic3 , comp-exec , rascal , 4.71 , 1560664 , 135328
merge , comp-exec , rascal , 5.51 , 1565072 , 143304
mergesort , comp-exec , rascal , timed out after 2500
missionariescannibals , comp-exec , rascal , failed with exit status 1
oddeven , comp-exec , rascal , 29.25 , 1566020 , 404156
permutations , comp-exec , rascal , failed with exit status 1
quicksort , comp-exec , rascal , timed out after 2500
revelt , comp-exec , rascal , 4.63 , 1564608 , 120560
revnat , comp-exec , rascal , 561.11 , 1563208 , 1047532
sieve , comp-exec , rascal , failed with exit status 1
tak , comp-exec , rascal , 22.94 , 1568216 , 408348
tautologyhard , comp-exec , rascal , 5.42 , 1564260 , 149144
asfsdfbenchmark , comp , scala , 16.92 , 5136 , 2792
asfsdfbenchmark , exec , scala , timed out after 2500
binarysearch , comp , scala , 12.41 , 5136 , 2968
binarysearch , exec , scala , failed with exit status 1
bubblesort , exec , scala , failed with exit status 1
closure , comp , scala , 13.93 , 5136 , 2796
closure , exec , scala , 1.00 , 1375400 , 41672
dart , comp , scala , 9.72 , 5136 , 2792
dart , exec , scala , failed with exit status 1
evalexpr , comp , scala , 13.12 , 5136 , 3036
evalexpr , exec , scala , failed with exit status 1
evalsym , comp , scala , 11.62 , 5136 , 2980
evalsym , exec , scala , 36.03 , 1377572 , 369872
evaltree , comp , scala , 10.32 , 5136 , 2960
evaltree , exec , scala , 5.30 , 1378160 , 417732
factorial6 , comp , scala , 7.62 , 5136 , 3040
factorial6 , exec , scala , failed with exit status 1
factorial7 , comp , scala , 6.62 , 5136 , 2896
factorial7 , exec , scala , failed with exit status 1
factorial8 , comp , scala , 7.31 , 5136 , 2976
factorial8 , exec , scala , failed with exit status 1
factorial9 , comp , scala , 6.71 , 5136 , 2964
factorial9 , exec , scala , failed with exit status 1
fib32 , comp , scala , 12.21 , 5136 , 2904
fib32 , exec , scala , failed with exit status 1
fibfree , comp , scala , 21.34 , 5136 , 2860
fibfree , exec , scala , 0.70 , 1376484 , 28972
fibonacci , comp , scala , 7.62 , 5136 , 2964
fibonacci , exec , scala , failed with exit status 1
garbagecollection , comp , scala , 8.12 , 5136 , 2856
garbagecollection , exec , scala , 0.70 , 1375240 , 29236
hanoi , comp , scala , 11.43 , 5136 , 2860
hanoi , exec , scala , 0.70 , 1375396 , 27864
langton , comp , scala , 181.19 , 5136 , 2848
langton , exec , scala , failed with exit status 1
logic3 , comp , scala , 7.91 , 5136 , 2892
logic3 , exec , scala , 0.70 , 1375268 , 29112
merge , comp , scala , 8.71 , 5136 , 2848
merge , exec , scala , 0.70 , 1376484 , 29264
mergesort , comp , scala , 9.92 , 5136 , 2792
mergesort , exec , scala , timed out after 2500
missionariescannibals , comp , scala , 14.23 , 5136 , 2972
missionariescannibals , exec , scala , failed with exit status 1
oddeven , comp , scala , 7.42 , 5136 , 2968
oddeven , exec , scala , 0.80 , 1375236 , 28752
permutations , comp , scala , 8.53 , 5136 , 2968
permutations , exec , scala , failed with exit status 1
quicksort , comp , scala , 10.22 , 5136 , 2844
quicksort , exec , scala , timed out after 2500
revelt , comp , scala , 8.52 , 5136 , 2792
revelt , exec , scala , 0.70 , 1375128 , 27972
revnat , comp , scala , 7.91 , 5136 , 2900
revnat , exec , scala , failed with exit status 1
sieve , comp , scala , 11.81 , 5136 , 2892
sieve , exec , scala , failed with exit status 1
tak , comp , scala , 9.41 , 5136 , 2792
tak , exec , scala , 0.70 , 1375528 , 35416
tautologyhard , comp , scala , 8.81 , 5136 , 2840
tautologyhard , exec , scala , 0.70 , 1375236 , 29204
asfsdfbenchmark , comp , tom , 27.14 , 1408864 , 439188
asfsdfbenchmark , comp , tom , failed with exit status 1
binarysearch , comp , tom , 14.23 , 1408548 , 225656
binarysearch , exec , tom , failed with exit status 1
bubblesort , comp , tom , failed with exit status 2
closure , comp , tom , 8.01 , 1399676 , 140036
closure , exec , tom , 0.60 , 1376740 , 25136
dart , comp , tom , 7.12 , 1402956 , 123784
dart , exec , tom , 0.40 , 1374164 , 20888
evalexpr , comp , tom , 9.91 , 1406920 , 151004
evalexpr , exec , tom , failed with exit status 1
evalsym , comp , tom , 8.81 , 1400124 , 138456
evalsym , exec , tom , 108.09 , 1384064 , 31568
evaltree , comp , tom , 10.33 , 1405724 , 149776
evaltree , exec , tom , 5.21 , 1381340 , 29752
factorial6 , comp , tom , 3.60 , 1389612 , 78464
factorial6 , exec , tom , 0.30 , 1374164 , 18876
factorial7 , comp , tom , 3.81 , 1393412 , 82744
factorial7 , exec , tom , 0.40 , 1374164 , 21108
factorial8 , comp , tom , 3.61 , 1393292 , 81832
factorial8 , exec , tom , failed with exit status 1
factorial9 , comp , tom , 3.91 , 1392780 , 83144
factorial9 , exec , tom , failed with exit status 1
fib32 , comp , tom , 11.23 , 1407716 , 204844
fib32 , exec , tom , 10.01 , 1383932 , 31932
fibfree , comp , tom , 11.32 , 1405328 , 157720
fibfree , exec , tom , 0.40 , 1374164 , 20800
fibonacci , comp , tom , 3.61 , 1392696 , 76432
fibonacci , exec , tom , failed with exit status 1
garbagecollection , comp , tom , 4.62 , 1397884 , 97892
garbagecollection , exec , tom , 0.40 , 1374164 , 19556
hanoi , comp , tom , 5.41 , 1400184 , 99588
hanoi , exec , tom , 0.40 , 1374164 , 20520
langton , comp , tom , 19.14 , 1406728 , 378784
langton , exec , tom , failed with exit status 1
logic3 , comp , tom , 6.42 , 1398416 , 108428
logic3 , exec , tom , 0.40 , 1374164 , 20332
mergesort , comp , tom , 5.71 , 1401460 , 105936
mergesort , exec , tom , timed out after 2500
merge , comp , tom , failed with exit status 2
missionariescannibals , comp , tom , 13.14 , 1405208 , 186880
missionariescannibals , comp , tom , failed with exit status 1
oddeven , comp , tom , 3.91 , 1394312 , 74152
oddeven , exec , tom , 0.60 , 1375260 , 21864
permutations , comp , tom , 5.31 , 1398712 , 84616
permutations , exec , tom , 0.30 , 1374900 , 19492
quicksort , comp , tom , 7.92 , 1403420 , 115152
quicksort , exec , tom , timed out after 2500
revelt , comp , tom , 3.50 , 1396368 , 87612
revelt , exec , tom , 0.30 , 1374164 , 20308
revnat , comp , tom , 4.10 , 1399684 , 98788
revnat , exec , tom , failed with exit status 1
sieve , comp , tom , 9.82 , 1406612 , 185840
sieve , exec , tom , failed with exit status 1
tak , comp , tom , 4.31 , 1398832 , 98680
tak , exec , tom , 0.40 , 1374900 , 20372
tautologyhard , comp , tom , 8.02 , 1403916 , 145144
tautologyhard , exec , tom , 0.30 , 1374900 , 19844
