asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
missionariescannibals , exec , mcrl2-jittyc , failed with exit status 1
oddeven , comp , mcrl2 , 12.91 , 12548 , 9160
oddeven , exec , mcrl2 , 0.10 , 2020 , 52
oddeven , comp , mcrl2-jittyc , 13.01 , 12548 , 9156
oddeven , exec , mcrl2-jittyc , 11.01 , 14360 , 10096
permutations , comp , mcrl2 , 0.10 , 2020 , 52
permutations , exec , mcrl2 , 0.10 , 2020 , 52
permutations , comp , mcrl2-jittyc , 0.10 , 2020 , 56
permutations , exec , mcrl2-jittyc , 11.41 , 14364 , 9924
quicksort , comp , mcrl2 , timed out after 2500
quicksort , comp , mcrl2-jittyc , timed out after 2500
revelt , comp , mcrl2 , 0.10 , 2020 , 56
revelt , exec , mcrl2 , 0.10 , 2020 , 56
revelt , comp , mcrl2-jittyc , 0.10 , 2020 , 52
revelt , exec , mcrl2-jittyc , 9.61 , 14308 , 10132
revnat , comp , mcrl2 , failed with exit status 1
revnat , comp , mcrl2-jittyc , failed with exit status 1
sieve , comp , mcrl2 , failed with exit status 1
sieve , comp , mcrl2-jittyc , failed with exit status 1
tak , comp , mcrl2 , 0.10 , 2020 , 52
tak , exec , mcrl2 , 1.40 , 14268 , 9072
tak , comp , mcrl2-jittyc , 0.10 , 2020 , 52
tak , exec , mcrl2-jittyc , 11.21 , 14460 , 9896
tautologyhard , comp , mcrl2 , 0.20 , 13372 , 9856
tautologyhard , exec , mcrl2 , 0.10 , 2020 , 52
tautologyhard , comp , mcrl2-jittyc , 0.20 , 13372 , 9804
tautologyhard , exec , mcrl2-jittyc , 10.91 , 14364 , 9964
asfsdfbenchmark , comp , ocaml , 0.20 , 8216 , 5676
asfsdfbenchmark , exec , ocaml , timed out after 2500
binarysearch , comp , ocaml , 0.20 , 8216 , 5912
binarysearch , exec , ocaml , failed with exit status 2
bubblesort , comp , ocaml , 0.30 , 9408 , 7140
bubblesort , exec , ocaml , 9.41 , 5796 , 2868
closure , comp , ocaml , 0.60 , 10968 , 8372
closure , exec , ocaml , 0.30 , 5728 , 2772
dart , comp , ocaml , 0.10 , 2020 , 52
dart , exec , ocaml , 0.10 , 2020 , 56
evalexpr , comp , ocaml , 0.20 , 8216 , 5644
evalexpr , exec , ocaml , failed with exit status 2
evalsym , comp , ocaml , 0.10 , 2020 , 52
evalsym , exec , ocaml , 61.75 , 5796 , 2732
evaltree , comp , ocaml , 0.20 , 8216 , 5616
evaltree , exec , ocaml , 4.00 , 47140 , 42152
factorial6 , comp , ocaml , 0.10 , 2020 , 56
factorial6 , exec , ocaml , 0.10 , 2020 , 56
factorial7 , comp , ocaml , 0.10 , 2020 , 56
factorial7 , exec , ocaml , 0.10 , 2020 , 52
factorial8 , comp , ocaml , 0.10 , 2020 , 56
factorial8 , exec , ocaml , 0.10 , 2020 , 52
factorial9 , comp , ocaml , 0.10 , 2020 , 56
factorial9 , exec , ocaml , failed with exit status 2
fib32 , comp , ocaml , 0.20 , 8216 , 5712
fib32 , exec , ocaml , failed with exit status 2
fibfree , comp , ocaml , 0.40 , 8960 , 6544
fibfree , exec , ocaml , 0.10 , 2020 , 56
fibonacci , comp , ocaml , 0.10 , 2020 , 56
fibonacci , exec , ocaml , failed with exit status 2
garbagecollection , comp , ocaml , 0.10 , 2020 , 56
garbagecollection , exec , ocaml , 0.10 , 2020 , 56
hanoi , comp , ocaml , 0.10 , 2020 , 56
hanoi , exec , ocaml , 0.10 , 2020 , 56
langton , comp , ocaml , 2.40 , 10448 , 7780
langton , exec , ocaml , 351.09 , 17444 , 12276
logic3 , comp , ocaml , 0.20 , 8988 , 5992
logic3 , exec , ocaml , 0.10 , 2020 , 56
merge , comp , ocaml , 0.20 , 7972 , 5672
merge , exec , ocaml , 0.10 , 2020 , 52
mergesort , comp , ocaml , 0.10 , 2020 , 52
mergesort , exec , ocaml , timed out after 2500
missionariescannibals , comp , ocaml , 0.20 , 8216 , 5932
missionariescannibals , exec , ocaml , failed with exit status 2
oddeven , comp , ocaml , 0.10 , 2020 , 52
oddeven , exec , ocaml , 0.20 , 5792 , 1004
permutations , comp , ocaml , 0.10 , 2020 , 56
permutations , exec , ocaml , failed with exit status 2
quicksort , comp , ocaml , 0.20 , 7972 , 5436
quicksort , exec , ocaml , timed out after 2500
revelt , comp , ocaml , 0.10 , 2020 , 56
revelt , exec , ocaml , 0.10 , 2020 , 56
revnat , comp , ocaml , 0.10 , 2020 , 52
revnat , exec , ocaml , 94.78 , 6680 , 4528
sieve , comp , ocaml , 0.20 , 8216 , 5728
sieve , exec , ocaml , failed with exit status 2
tak , comp , ocaml , 0.10 , 2020 , 52
tak , exec , ocaml , 0.10 , 2020 , 56
tautologyhard , comp , ocaml , 0.20 , 8216 , 5600
tautologyhard , exec , ocaml , 0.10 , 2020 , 52
asfsdfbenchmark , comp , opal , timed out after 2500
binarysearch , comp , opal , 2.50 , 2272 , 580
binarysearch , exec , opal , failed with exit status 1
bubblesort , comp , opal , 323.67 , 2272 , 612
bubblesort , exec , opal , 11.11 , 198912 , 197364
closure , comp , opal , 788.94 , 2272 , 616
closure , exec , opal , 0.10 , 2020 , 56
dart , comp , opal , 1.90 , 2272 , 636
dart , exec , opal , 0.20 , 15104 , 13576
evalexpr , comp , opal , 2.70 , 2272 , 576
evalexpr , exec , opal , failed with exit status 1
evalsym , comp , opal , 2.40 , 2272 , 576
evalsym , exec , opal , 96.98 , 4364 , 1120
evaltree , comp , opal , 2.00 , 2272 , 616
evaltree , exec , opal , 4.40 , 80200 , 78504
factorial6 , comp , opal , 0.80 , 2272 , 592
factorial6 , exec , opal , 0.10 , 2020 , 56
factorial7 , comp , opal , 0.80 , 2272 , 616
factorial7 , exec , opal , 0.10 , 2020 , 52
factorial8 , comp , opal , 0.80 , 2272 , 588
factorial8 , exec , opal , 0.20 , 23188 , 21592
factorial9 , comp , opal , 0.90 , 2272 , 624
factorial9 , exec , opal , failed with exit status 1
fib32 , comp , opal , 2.30 , 2272 , 588
fib32 , exec , opal , failed with exit status 1
fibfree , comp , opal , 6.01 , 2272 , 604
fibfree , exec , opal , 0.10 , 2020 , 56
fibonacci , comp , opal , 1.00 , 2272 , 576
fibonacci , exec , opal , failed with exit status 1
garbagecollection , comp , opal , 1.10 , 2272 , 580
garbagecollection , exec , opal , 0.10 , 2020 , 52
hanoi , comp , opal , 1.60 , 2272 , 604
hanoi , exec , opal , 0.10 , 2020 , 52
langton , comp , opal , 16.51 , 2272 , 588
langton , exec , opal , 171.94 , 58096 , 56360
logic3 , comp , opal , 0.80 , 2272 , 592
logic3 , exec , opal , 0.10 , 2020 , 52
merge , comp , opal , 2.00 , 2272 , 632
merge , exec , opal , 0.10 , 2020 , 56
mergesort , comp , opal , 1.60 , 2272 , 620
mergesort , exec , opal , 1.50 , 195060 , 193236
missionariescannibals , comp , opal , 3.60 , 2272 , 616
missionariescannibals , exec , opal , failed with exit status 1
oddeven , comp , opal , 1.00 , 2272 , 620
oddeven , exec , opal , 0.10 , 2020 , 52
permutations , comp , opal , 1.60 , 2272 , 580
permutations , exec , opal , failed with exit status 1
quicksort , comp , opal , 1.50 , 2272 , 632
quicksort , exec , opal , 20.92 , 195060 , 193352
revelt , comp , opal , 1.00 , 2272 , 596
revelt , exec , opal , 0.10 , 2020 , 52
revnat , comp , opal , 1.10 , 2272 , 624
revnat , exec , opal , failed with exit status 1
sieve , comp , opal , 3.10 , 2272 , 584
sieve , exec , opal , failed with exit status 1
tak , comp , opal , 1.30 , 2272 , 596
tak , exec , opal , 0.10 , 2020 , 52
tautologyhard , comp , opal , 1.40 , 2272 , 616
tautologyhard , exec , opal , 0.10 , 2020 , 56
asfsdfbenchmark , comp-exec , rascal , timed out after 2500
binarysearch , comp-exec , rascal , failed with exit status 1
bubblesort , comp-exec , rascal , 2013.62 , 1569500 , 456752
closure , comp-exec , rascal , 43.74 , 1564944 , 449312
