fibonacci05 , comp-exec , maude , 0.10 , 2020 , 56
fibonacci18 , comp-exec , maude , 0.10 , 2020 , 56
fibonacci19 , comp-exec , maude , 0.20 , 10548 , 8684
fibonacci20 , comp-exec , maude , 0.21 , 10548 , 8476
fibonacci21 , comp-exec , maude , 0.20 , 11932 , 10060
hanoi4 , comp-exec , maude , 0.20 , 9464 , 7428
langton6 , comp-exec , maude , failed with exit status 1
langton7 , comp-exec , maude , maude langton failure again
logic3 , comp-exec , maude , 0.10 , 2020 , 56
merge , comp-exec , maude , 0.10 , 2020 , 56
mergesort10 , comp-exec , maude , 0.10 , 2020 , 52
mergesort100 , comp-exec , maude , 0.20 , 10584 , 8644
mergesort1000 , comp-exec , maude , 1.40 , 10968 , 9328
missionaries2 , comp-exec , maude , 0.20 , 10268 , 8448
missionaries3 , comp-exec , maude , 0.20 , 10288 , 8424
permutations6 , comp-exec , maude , 0.20 , 10528 , 8768
permutations7 , comp-exec , maude , 1.20 , 14100 , 12496
quicksort10 , comp-exec , maude , 0.10 , 2020 , 52
quicksort100 , comp-exec , maude , 0.20 , 10584 , 8684
quicksort1000 , comp-exec , maude , 41.34 , 34148 , 32560
revnat100 , comp-exec , maude , 0.20 , 12220 , 10216
revnat1000 , comp-exec , maude , 0.70 , 10864 , 9380
revnat10000 , comp-exec , maude , 48.35 , 16200 , 14492
sieve20 , comp-exec , maude , 0.20 , 12220 , 10220
sieve100 , comp-exec , maude , 0.10 , 2020 , 56
sieve1000 , comp-exec , maude , 1.60 , 10704 , 8728
sieve2000 , comp-exec , maude , 8.22 , 14404 , 12036
sieve10000 , comp-exec , maude , 631.53 , 14464 , 12396
tak18 , comp-exec , maude , 0.40 , 10528 , 8800
tak36 , comp-exec , maude , 14.52 , 10536 , 8800
benchexpr10 , comp , mcrl2 , 0.20 , 14164 , 9948
benchexpr10 , exec , mcrl2 , 0.20 , 14280 , 9232
benchexpr10 , comp , mcrl2-jittyc , 0.20 , 14164 , 9752
benchexpr10 , exec , mcrl2-jittyc , failed with exit status 1
benchexpr20 , comp , mcrl2 , 0.20 , 14164 , 9852
benchexpr20 , exec , mcrl2 , 50.35 , 14368 , 9860
benchexpr20 , comp-exec , mcrl2-jittyc , mcrl2-jittyc benchexpr failure again
benchexpr22 , comp , mcrl2 , 0.20 , 14164 , 9744
benchexpr22 , exec , mcrl2 , 199.17 , 14408 , 9776
benchexpr22 , comp-exec , mcrl2-jittyc , mcrl2-jittyc benchexpr failure again
benchsym10 , comp , mcrl2 , 0.20 , 14164 , 9840
benchsym10 , exec , mcrl2 , 0.20 , 14284 , 9240
benchsym10 , comp , mcrl2-jittyc , 0.20 , 14164 , 9868
benchsym10 , exec , mcrl2-jittyc , 15.32 , 14464 , 10228
benchsym20 , comp , mcrl2 , 0.20 , 14164 , 9988
benchsym20 , exec , mcrl2 , 61.95 , 14428 , 9872
benchsym20 , comp , mcrl2-jittyc , 0.20 , 14164 , 8544
benchsym20 , exec , mcrl2-jittyc , 17.02 , 14916 , 10424
benchsym22 , comp , mcrl2 , 0.20 , 14164 , 9708
benchsym22 , exec , mcrl2 , 247.61 , 14472 , 9792
benchsym22 , comp , mcrl2-jittyc , 0.20 , 14164 , 9772
benchsym22 , exec , mcrl2-jittyc , 20.93 , 14656 , 10384
benchtree10 , comp , mcrl2 , 0.20 , 14164 , 9944
benchtree10 , exec , mcrl2 , timed out after 2500
benchtree10 , comp , mcrl2-jittyc , 0.20 , 14164 , 10088
benchtree10 , exec , mcrl2-jittyc , 419.75 , 14632 , 10436
benchtree20 , comp-exec , mcrl2 , mcrl2 benchtree timeout again
benchtree20 , comp , mcrl2-jittyc , 0.20 , 14164 , 10532
benchtree20 , exec , mcrl2-jittyc , timed out after 2500
benchtree22 , comp-exec , mcrl2 , mcrl2 benchtree timeout again
benchtree22 , comp-exec , mcrl2-jittyc , mcrl2-jittyc benchtree timeout again
binarysearch , comp , mcrl2 , 0.20 , 13492 , 9260
binarysearch , exec , mcrl2 , 262.22 , 14412 , 9344
binarysearch , comp , mcrl2-jittyc , 0.20 , 13492 , 9052
binarysearch , exec , mcrl2-jittyc , timed out after 2500
bubblesort10 , comp , mcrl2 , 0.10 , 2020 , 56
bubblesort10 , exec , mcrl2 , 0.10 , 2020 , 52
bubblesort10 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
bubblesort10 , exec , mcrl2-jittyc , 10.91 , 14360 , 9964
bubblesort20 , comp , mcrl2 , 0.20 , 2020 , 52
bubblesort20 , exec , mcrl2 , 0.10 , 2020 , 52
bubblesort20 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
bubblesort20 , exec , mcrl2-jittyc , 10.81 , 14360 , 10160
bubblesort100 , comp , mcrl2 , 0.10 , 2020 , 52
bubblesort100 , exec , mcrl2 , 0.40 , 14300 , 9612
bubblesort100 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
bubblesort100 , exec , mcrl2-jittyc , 11.11 , 14456 , 10380
bubblesort720 , comp , mcrl2 , 0.10 , 2020 , 56
bubblesort720 , exec , mcrl2 , 115.81 , 16568 , 11752
bubblesort720 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
bubblesort720 , exec , mcrl2-jittyc , 14.72 , 15948 , 11724
bubblesort1000 , comp , mcrl2 , 0.10 , 2020 , 56
bubblesort1000 , exec , mcrl2 , 315.19 , 18092 , 13032
bubblesort1000 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
bubblesort1000 , exec , mcrl2-jittyc , 19.12 , 17216 , 12536
dart , comp , mcrl2 , 0.20 , 12820 , 8700
dart , exec , mcrl2 , failed with exit status 1
dart , comp , mcrl2-jittyc , 0.10 , 2020 , 56
dart , exec , mcrl2-jittyc , failed with exit status 1
evalexpr , comp , mcrl2 , 0.20 , 13228 , 9692
evalexpr , exec , mcrl2 , 95.19 , 14368 , 9844
evalexpr , comp , mcrl2-jittyc , 0.20 , 13228 , 9444
evalexpr , exec , mcrl2-jittyc , 15.43 , 14556 , 10564
evalsym , comp , mcrl2 , 0.10 , 2020 , 52
evalsym , exec , mcrl2 , timed out after 2500
evalsym , comp , mcrl2-jittyc , 0.10 , 2020 , 56
evalsym , exec , mcrl2-jittyc , 53.47 , 14544 , 10496
evaltree , comp , mcrl2 , 0.20 , 12952 , 9352
evaltree , exec , mcrl2 , 247.81 , 14416 , 9792
evaltree , comp , mcrl2-jittyc , 0.10 , 2020 , 56
evaltree , exec , mcrl2-jittyc , 265.23 , 14484 , 10160
factorial5 , comp , mcrl2 , 0.10 , 2020 , 52
factorial5 , exec , mcrl2 , 0.10 , 2020 , 52
factorial5 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial5 , exec , mcrl2-jittyc , 9.41 , 14312 , 9848
factorial6 , comp , mcrl2 , 0.11 , 2020 , 56
factorial6 , exec , mcrl2 , 0.10 , 2020 , 52
factorial6 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial6 , exec , mcrl2-jittyc , 9.31 , 14312 , 10128
factorial7 , comp , mcrl2 , 0.10 , 2020 , 52
factorial7 , exec , mcrl2 , 0.20 , 19400 , 14484
factorial7 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial7 , exec , mcrl2-jittyc , 9.52 , 15832 , 11600
factorial8 , comp , mcrl2 , 0.10 , 2020 , 52
factorial8 , exec , mcrl2 , failed with exit status 1
factorial8 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial8 , exec , mcrl2-jittyc , failed with exit status 1
factorial9 , comp-exec , mcrl2 , mcrl2 factorial failure again
factorial9 , comp-exec , mcrl2-jittyc , mcrl2-jittyc factorial failure again
fib32 , comp , mcrl2 , 0.10 , 2020 , 52
fib32 , exec , mcrl2 , 262.42 , 14280 , 9344
fib32 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fib32 , exec , mcrl2-jittyc , 22.82 , 14652 , 10548
fibfree , comp , mcrl2 , 0.30 , 15560 , 12408
fibfree , exec , mcrl2 , 0.10 , 2020 , 52
fibfree , comp , mcrl2-jittyc , 0.20 , 15560 , 11120
fibfree , exec , mcrl2-jittyc , 17.43 , 14556 , 10032
fibonacci05 , comp , mcrl2 , 0.10 , 2020 , 56
fibonacci05 , exec , mcrl2 , 0.10 , 2020 , 56
fibonacci05 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fibonacci05 , exec , mcrl2-jittyc , 10.91 , 14356 , 9900
fibonacci18 , comp , mcrl2 , 0.10 , 2020 , 52
fibonacci18 , exec , mcrl2 , 0.20 , 16848 , 12184
fibonacci18 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fibonacci18 , exec , mcrl2-jittyc , 9.41 , 14312 , 9852
fibonacci19 , comp , mcrl2 , 0.10 , 2020 , 56
fibonacci19 , exec , mcrl2 , 0.20 , 16848 , 12336
fibonacci19 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fibonacci19 , exec , mcrl2-jittyc , 9.41 , 14464 , 10456
fibonacci20 , comp , mcrl2 , 0.10 , 2020 , 52
fibonacci20 , exec , mcrl2 , 0.40 , 21520 , 16612
fibonacci20 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
fibonacci20 , exec , mcrl2-jittyc , 9.52 , 14312 , 10052
fibonacci21 , comp , mcrl2 , 0.10 , 2020 , 52
fibonacci21 , exec , mcrl2 , 0.40 , 21256 , 16816
fibonacci21 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fibonacci21 , exec , mcrl2-jittyc , 9.41 , 16592 , 12468
hanoi4 , comp , mcrl2 , 0.20 , 12548 , 9168
hanoi4 , exec , mcrl2 , 0.10 , 2020 , 52
hanoi4 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
hanoi4 , exec , mcrl2-jittyc , 12.32 , 14612 , 10144
langton6 , comp , mcrl2 , 0.20 , 15628 , 11324
langton6 , exec , mcrl2 , failed with exit status 1
langton6 , comp , mcrl2-jittyc , 0.20 , 15628 , 11216
langton6 , exec , mcrl2-jittyc , failed with exit status 1
langton7 , comp-exec , mcrl2 , mcrl2 langton failure again
langton7 , comp-exec , mcrl2-jittyc , mcrl2-jittyc langton failure again
logic3 , comp , mcrl2 , 0.10 , 2020 , 56
logic3 , exec , mcrl2 , 0.10 , 2020 , 52
logic3 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
logic3 , exec , mcrl2-jittyc , 10.31 , 14308 , 10156
merge , comp , mcrl2 , 0.20 , 13224 , 9484
merge , exec , mcrl2 , 0.10 , 2020 , 52
merge , comp , mcrl2-jittyc , 0.10 , 2020 , 52
merge , exec , mcrl2-jittyc , 11.72 , 14364 , 9924
mergesort10 , comp , mcrl2 , 0.10 , 2020 , 56
mergesort10 , exec , mcrl2 , 0.10 , 2020 , 56
mergesort10 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
mergesort10 , exec , mcrl2-jittyc , 12.81 , 14404 , 10180
mergesort100 , comp , mcrl2 , 0.20 , 12692 , 9484
mergesort100 , exec , mcrl2 , timed out after 2500
mergesort100 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
mergesort100 , exec , mcrl2-jittyc , timed out after 2500
mergesort1000 , comp-exec , mcrl2 , mcrl2 mergesort timeout again
mergesort1000 , comp-exec , mcrl2-jittyc , mcrl2-jittyc mergesort timeout again
missionaries2 , comp , mcrl2 , 0.20 , 13224 , 9716
missionaries2 , exec , mcrl2 , 0.20 , 14408 , 9788
missionaries2 , comp , mcrl2-jittyc , 0.20 , 13224 , 9680
missionaries2 , exec , mcrl2-jittyc , 19.62 , 14504 , 10392
missionaries3 , comp , mcrl2 , 0.20 , 13224 , 9536
missionaries3 , exec , mcrl2 , 0.20 , 14464 , 9832
missionaries3 , comp , mcrl2-jittyc , 0.20 , 13224 , 9564
missionaries3 , exec , mcrl2-jittyc , 19.73 , 14504 , 10252
permutations6 , comp , mcrl2 , 0.10 , 2020 , 52
permutations6 , exec , mcrl2 , 0.60 , 16072 , 11480
permutations6 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
permutations6 , exec , mcrl2-jittyc , 12.31 , 14944 , 10652
permutations7 , comp , mcrl2 , 0.10 , 2020 , 56
permutations7 , exec , mcrl2 , failed with exit status 1
permutations7 , comp , mcrl2-jittyc , 0.20 , 12680 , 8800
permutations7 , exec , mcrl2-jittyc , 15.02 , 19028 , 14284
quicksort10 , comp , mcrl2 , 0.10 , 2020 , 52
quicksort10 , exec , mcrl2 , 0.20 , 14280 , 9280
quicksort10 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
quicksort10 , exec , mcrl2-jittyc , 12.81 , 14404 , 10140
quicksort100 , comp , mcrl2 , 0.10 , 2020 , 56
quicksort100 , exec , mcrl2 , timed out after 2500
quicksort100 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
quicksort100 , exec , mcrl2-jittyc , timed out after 2500
quicksort1000 , comp-exec , mcrl2 , mcrl2 quicksort timeout again
quicksort1000 , comp-exec , mcrl2-jittyc , mcrl2-jittyc quicksort timeout again
revnat100 , comp , mcrl2 , 0.10 , 2020 , 56
