asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
merge , comp , mcrl2 , 0.10 , 2020 , 52
merge , exec , mcrl2 , 0.10 , 2020 , 52
merge , comp , mcrl2-jittyc , 0.20 , 13224 , 9404
merge , exec , mcrl2-jittyc , 11.62 , 14364 , 10208
mergesort , comp , mcrl2 , timed out after 2500
mergesort , comp , mcrl2-jittyc , timed out after 2500
missionariescannibals , comp , mcrl2 , 0.20 , 13224 , 9880
missionariescannibals , exec , mcrl2 , 0.20 , 14460 , 9900
missionariescannibals , comp , mcrl2-jittyc , 0.20 , 13224 , 9748
missionariescannibals , exec , mcrl2-jittyc , 23.04 , 14504 , 10076
oddeven , comp , mcrl2 , 13.01 , 12548 , 9196
oddeven , exec , mcrl2 , 0.10 , 2020 , 56
oddeven , comp , mcrl2-jittyc , 12.92 , 12548 , 9088
oddeven , exec , mcrl2-jittyc , 11.02 , 14360 , 10236
permutations , comp , mcrl2 , 0.10 , 2020 , 56
permutations , exec , mcrl2 , failed with exit status 1
permutations , comp , mcrl2-jittyc , 0.10 , 2020 , 56
permutations , exec , mcrl2-jittyc , 14.81 , 18132 , 13696
quicksort , comp , mcrl2 , timed out after 2500
quicksort , comp , mcrl2-jittyc , timed out after 2500
revelt , comp , mcrl2 , 0.10 , 2020 , 56
revelt , exec , mcrl2 , 0.10 , 2020 , 52
revelt , comp , mcrl2-jittyc , 0.10 , 2020 , 56
revelt , exec , mcrl2-jittyc , 9.71 , 14308 , 9904
revnat , comp , mcrl2 , failed with exit status 1
revnat , comp , mcrl2-jittyc , failed with exit status 1
sieve , comp , mcrl2 , failed with exit status 1
sieve , comp , mcrl2-jittyc , failed with exit status 1
tak , comp , mcrl2 , 0.20 , 12688 , 9436
tak , exec , mcrl2 , 1.40 , 14268 , 9336
tak , comp , mcrl2-jittyc , 0.10 , 2020 , 52
tak , exec , mcrl2-jittyc , 11.21 , 14460 , 10200
tautologyhard , comp , mcrl2 , 0.20 , 13372 , 9680
tautologyhard , exec , mcrl2 , 0.10 , 2020 , 52
tautologyhard , comp , mcrl2-jittyc , 0.10 , 2020 , 52
tautologyhard , exec , mcrl2-jittyc , 10.92 , 14364 , 9904
asfsdfbenchmark , comp , ocaml , 0.20 , 8216 , 5612
asfsdfbenchmark , exec , ocaml , timed out after 2500
binarysearch , comp , ocaml , 0.20 , 8216 , 5752
binarysearch , exec , ocaml , failed with exit status 2
bubblesort , comp , ocaml , 0.30 , 9024 , 6784
bubblesort , exec , ocaml , 9.41 , 5796 , 2908
closure , comp , ocaml , 0.70 , 10968 , 8296
closure , exec , ocaml , 0.30 , 5728 , 2864
dart , comp , ocaml , 0.10 , 2020 , 52
dart , exec , ocaml , 0.10 , 2020 , 56
evalexpr , comp , ocaml , 0.20 , 7972 , 5704
evalexpr , exec , ocaml , 2.20 , 15360 , 11912
evalsym , comp , ocaml , 0.20 , 8216 , 5644
evalsym , exec , ocaml , 92.38 , 5796 , 2724
evaltree , comp , ocaml , 0.20 , 7972 , 5724
evaltree , exec , ocaml , 6.21 , 47140 , 41668
factorial6 , comp , ocaml , 0.10 , 2020 , 56
factorial6 , exec , ocaml , 0.10 , 2020 , 52
factorial7 , comp , ocaml , 0.10 , 2020 , 52
factorial7 , exec , ocaml , 0.10 , 2020 , 52
factorial8 , comp , ocaml , 0.10 , 2020 , 52
factorial8 , exec , ocaml , 0.10 , 2020 , 52
factorial9 , comp , ocaml , 0.10 , 2020 , 52
factorial9 , exec , ocaml , failed with exit status 2
fib32 , comp , ocaml , 0.20 , 8216 , 5616
fib32 , exec , ocaml , 9.11 , 5796 , 2700
fibfree , comp , ocaml , 0.40 , 8960 , 6592
fibfree , exec , ocaml , 0.10 , 2020 , 52
fibonacci05 , comp , ocaml , 0.10 , 2020 , 56
fibonacci05 , exec , ocaml , 0.10 , 2020 , 52
fibonacci18 , comp , ocaml , 0.10 , 2020 , 52
fibonacci18 , exec , ocaml , 0.10 , 2020 , 52
fibonacci19 , comp , ocaml , 0.10 , 2020 , 56
fibonacci19 , exec , ocaml , 0.10 , 2020 , 56
fibonacci20 , comp , ocaml , 0.10 , 2020 , 56
fibonacci20 , exec , ocaml , 0.10 , 2020 , 52
fibonacci21 , comp , ocaml , 0.10 , 2020 , 56
fibonacci21 , exec , ocaml , 0.10 , 2020 , 56
garbagecollection , comp , ocaml , 0.10 , 2020 , 52
garbagecollection , exec , ocaml , 0.10 , 2020 , 56
hanoi , comp , ocaml , 0.20 , 8680 , 5700
hanoi , exec , ocaml , 0.10 , 2020 , 52
langton , comp , ocaml , 2.40 , 10448 , 7932
langton , exec , ocaml , 351.09 , 17444 , 12216
logic3 , comp , ocaml , 0.20 , 8712 , 6032
logic3 , exec , ocaml , 0.10 , 2020 , 52
merge , comp , ocaml , 0.20 , 7972 , 5784
merge , exec , ocaml , 0.10 , 2020 , 56
mergesort , comp , ocaml , 0.10 , 2020 , 52
mergesort , exec , ocaml , timed out after 2500
missionariescannibals , comp , ocaml , 0.20 , 8216 , 5704
missionariescannibals , exec , ocaml , 0.10 , 2020 , 56
oddeven , comp , ocaml , 0.10 , 2020 , 52
oddeven , exec , ocaml , 0.20 , 5792 , 1048
permutations , comp , ocaml , 0.10 , 2020 , 52
permutations , exec , ocaml , 0.50 , 6700 , 4480
quicksort , comp , ocaml , 0.10 , 2020 , 56
quicksort , exec , ocaml , timed out after 2500
revelt , comp , ocaml , 0.10 , 2020 , 56
revelt , exec , ocaml , 0.10 , 2020 , 56
revnat , comp , ocaml , 0.10 , 2020 , 52
revnat , exec , ocaml , 94.38 , 6680 , 4528
sieve , comp , ocaml , 0.20 , 8216 , 5752
sieve , exec , ocaml , timed out after 2500
tak , comp , ocaml , 0.10 , 2020 , 52
tak , exec , ocaml , 0.10 , 2020 , 52
tautologyhard , comp , ocaml , 0.20 , 8216 , 5700
tautologyhard , exec , ocaml , 0.10 , 2020 , 52
asfsdfbenchmark , comp , opal , timed out after 2500
binarysearch , comp , opal , 2.70 , 2272 , 576
binarysearch , exec , opal , failed with exit status 1
bubblesort , comp , opal , 323.26 , 2272 , 576
bubblesort , exec , opal , 11.12 , 198912 , 197348
closure , comp , opal , 789.95 , 2272 , 612
closure , exec , opal , 0.20 , 4968 , 3176
dart , comp , opal , 2.10 , 2272 , 620
dart , exec , opal , 0.20 , 13332 , 11604
evalexpr , comp , opal , 2.60 , 2272 , 588
evalexpr , exec , opal , 2.20 , 20812 , 19140
evalsym , comp , opal , 2.40 , 2272 , 580
evalsym , exec , opal , 93.18 , 4364 , 1132
evaltree , comp , opal , 2.10 , 2272 , 596
evaltree , exec , opal , 4.50 , 80608 , 78784
factorial6 , comp , opal , 0.90 , 2272 , 572
factorial6 , exec , opal , 0.10 , 2020 , 56
factorial7 , comp , opal , 0.90 , 2272 , 600
factorial7 , exec , opal , 0.10 , 2020 , 52
factorial8 , comp , opal , 0.80 , 2272 , 624
factorial8 , exec , opal , 0.20 , 22916 , 21152
factorial9 , comp , opal , 0.90 , 2272 , 624
factorial9 , exec , opal , failed with exit status 1
fib32 , comp , opal , 2.30 , 2272 , 628
fib32 , exec , opal , 5.12 , 4360 , 1168
fibfree , comp , opal , 6.30 , 2272 , 616
fibfree , exec , opal , 0.10 , 2020 , 52
fibonacci05 , comp , opal , failed with exit status 9
fibonacci18 , comp , opal , 0.80 , 2272 , 600
fibonacci18 , exec , opal , 0.10 , 2020 , 52
fibonacci19 , comp , opal , 0.91 , 2272 , 636
fibonacci19 , exec , opal , 0.10 , 2020 , 52
fibonacci20 , comp , opal , 0.80 , 2272 , 608
fibonacci20 , exec , opal , 0.10 , 2020 , 56
fibonacci21 , comp , opal , 0.90 , 2272 , 580
fibonacci21 , exec , opal , 0.10 , 2020 , 52
garbagecollection , comp , opal , 1.21 , 2272 , 632
garbagecollection , exec , opal , 0.10 , 2020 , 52
hanoi , comp , opal , 1.60 , 2272 , 620
hanoi , exec , opal , 0.10 , 2020 , 56
langton , comp , opal , 16.51 , 2272 , 580
langton , exec , opal , 180.86 , 56868 , 54940
logic3 , comp , opal , 0.90 , 2272 , 620
logic3 , exec , opal , 0.10 , 2020 , 52
merge , comp , opal , 2.20 , 2272 , 572
merge , exec , opal , 0.10 , 2020 , 52
mergesort , comp , opal , 1.60 , 2272 , 612
mergesort , exec , opal , 1.50 , 195064 , 193200
missionariescannibals , comp , opal , 3.81 , 2272 , 620
missionariescannibals , exec , opal , 0.10 , 2020 , 52
oddeven , comp , opal , 1.00 , 2272 , 608
oddeven , exec , opal , 0.10 , 2020 , 56
permutations , comp , opal , 1.70 , 2272 , 592
permutations , exec , opal , 1.00 , 98136 , 96464
quicksort , comp , opal , 1.60 , 2272 , 628
quicksort , exec , opal , 21.03 , 195060 , 193348
revelt , comp , opal , 1.00 , 2272 , 600
revelt , exec , opal , 0.10 , 2020 , 52
revnat , comp , opal , 1.10 , 2272 , 580
revnat , exec , opal , failed with exit status 1
sieve , comp , opal , 3.30 , 2272 , 596
sieve , exec , opal , 209.28 , 2293720 , 2292016
tak , comp , opal , 1.40 , 2272 , 580
tak , exec , opal , 0.10 , 2020 , 56
tautologyhard , comp , opal , 1.40 , 2272 , 604
tautologyhard , exec , opal , 0.10 , 2020 , 56
asfsdfbenchmark , comp-exec , rascal , failed with exit status 129
binarysearch , comp-exec , rascal , failed with exit status 129
bubblesort , comp-exec , rascal , 1793.42 , 1572148 , 448876
closure , comp-exec , rascal , 53.52 , 1567704 , 453688
dart , comp-exec , rascal , 15.02 , 1562320 , 382152
evalexpr , comp-exec , rascal , failed with exit status 129
evalsym , comp-exec , rascal , timed out after 2500
evaltree , comp-exec , rascal , 694.03 , 1565740 , 606020
factorial6 , comp-exec , rascal , 5.51 , 1560880 , 116208
factorial7 , comp-exec , rascal , 6.01 , 1565588 , 146712
factorial8 , comp-exec , rascal , 6.61 , 1594464 , 154240
factorial9 , comp-exec , rascal , failed with exit status 1
fib32 , comp-exec , rascal , failed with exit status 129
fibfree , comp-exec , rascal , 8.81 , 1565952 , 218160
fibonacci05 , comp-exec , rascal , 8.32 , 1562076 , 105924
fibonacci18 , comp-exec , rascal , 8.62 , 1561224 , 148340
fibonacci19 , comp-exec , rascal , 8.73 , 1592636 , 154780
fibonacci20 , comp-exec , rascal , 11.31 , 1597484 , 217608
fibonacci21 , comp-exec , rascal , 10.52 , 1562520 , 213948
garbagecollection , comp-exec , rascal , 6.71 , 1595696 , 129152
hanoi , comp-exec , rascal , 6.51 , 1595792 , 107012
langton , comp-exec , rascal , timed out after 2500
logic3 , comp-exec , rascal , 5.61 , 1559772 , 140584
merge , comp-exec , rascal , 6.21 , 1559336 , 137140
mergesort , comp-exec , rascal , timed out after 2500
missionariescannibals , comp-exec , rascal , 8.63 , 1601420 , 151952
oddeven , comp-exec , rascal , 37.05 , 1567200 , 409676
permutations , comp-exec , rascal , 52.51 , 1595132 , 452460
quicksort , comp-exec , rascal , timed out after 2500
revelt , comp-exec , rascal , 5.71 , 1593156 , 116140
revnat , comp-exec , rascal , 574.15 , 1569484 , 877484
sieve , comp-exec , rascal , timed out after 2500
tak , comp-exec , rascal , 23.64 , 1596184 , 405296
tautologyhard , comp-exec , rascal , 6.81 , 1561660 , 139708
asfsdfbenchmark , comp , scala , 16.63 , 5136 , 2900
asfsdfbenchmark , exec , scala , timed out after 2500
binarysearch , comp , scala , 13.04 , 5136 , 2848
binarysearch , exec , scala , failed with exit status 1
bubblesort , exec , scala , failed with exit status 1
closure , comp , scala , 14.12 , 5136 , 2972
closure , exec , scala , 1.10 , 1312144 , 41480
dart , comp , scala , 11.12 , 5136 , 3048
dart , exec , scala , failed with exit status 1
evalexpr , comp , scala , 14.92 , 5136 , 2848
evalexpr , exec , scala , 2.91 , 1314672 , 322804
evalsym , comp , scala , 12.32 , 5136 , 2904
evalsym , exec , scala , 60.66 , 1312228 , 369060
evaltree , comp , scala , 11.42 , 5136 , 2868
evaltree , exec , scala , 7.11 , 1313588 , 420716
factorial6 , comp , scala , 7.31 , 5136 , 2904
factorial6 , exec , scala , failed with exit status 1
