test_name,trial,ghc_real_time,ghc_max_mem,user_time,sys_time,real_time,max_mem,avg_mem
searchinconditions.hs,2,0.41,121024.0,0.0,0.0,0.0,3404.0,0.0
searchinconditions.hs,3,0.41,121040.0,0.0,0.0,0.0,3420.0,0.0
searchinconditions.hs,4,0.41,121096.0,0.0,0.0,0.0,3240.0,0.0
benchsym20.hs,0,0.77,148988.0,0.09,0.0,0.09,4512.0,0.0
benchsym20.hs,1,0.39,121936.0,0.08,0.0,0.09,4512.0,0.0
benchsym20.hs,2,0.4,122024.0,0.08,0.0,0.09,4448.0,0.0
benchsym20.hs,3,0.4,121992.0,0.09,0.0,0.09,4624.0,0.0
benchsym20.hs,4,0.4,122100.0,0.09,0.0,0.09,4344.0,0.0
maa.hs,0,3.12,216556.0,1.06,0.0,1.06,9904.0,0.0
maa.hs,1,0.41,121724.0,1.09,0.01,1.1,9712.0,0.0
maa.hs,2,0.39,122344.0,1.08,0.0,1.09,9648.0,0.0
maa.hs,3,0.4,121516.0,1.04,0.01,1.05,9768.0,0.0
maa.hs,4,0.4,121520.0,1.1,0.0,1.1,9708.0,0.0
mul8.hs,0,17.94,707588.0,0.03,0.0,0.03,5724.0,0.0
mul8.hs,1,0.42,122736.0,0.03,0.0,0.03,5788.0,0.0
mul8.hs,2,0.43,122404.0,0.03,0.0,0.03,5724.0,0.0
mul8.hs,3,0.42,122552.0,0.03,0.0,0.03,5888.0,0.0
mul8.hs,4,0.43,122552.0,0.03,0.0,0.03,5976.0,0.0
sieve100.hs,0,0.69,141016.0,0.0,0.0,0.0,3716.0,0.0
sieve100.hs,1,0.4,122008.0,0.0,0.0,0.0,3720.0,0.0
sieve100.hs,2,0.41,122088.0,0.0,0.0,0.0,3908.0,0.0
sieve100.hs,3,0.4,121832.0,0.0,0.0,0.0,3712.0,0.0
sieve100.hs,4,0.42,122016.0,0.0,0.0,0.0,3720.0,0.0
oddeven.hs,0,0.56,141744.0,0.0,0.0,0.0,3412.0,0.0
oddeven.hs,1,0.41,121908.0,0.0,0.0,0.0,3408.0,0.0
oddeven.hs,2,0.41,121804.0,0.0,0.0,0.0,3468.0,0.0
oddeven.hs,3,0.4,121864.0,0.0,0.0,0.0,3236.0,0.0
oddeven.hs,4,0.41,121856.0,0.0,0.0,0.0,3348.0,0.0
calls.hs,0,0.53,141124.0,0.0,0.0,0.0,3424.0,0.0
calls.hs,1,0.41,121728.0,0.0,0.0,0.0,3368.0,0.0
calls.hs,2,0.41,121892.0,0.0,0.0,0.0,3420.0,0.0
calls.hs,3,0.41,121952.0,0.0,0.0,0.0,3448.0,0.0
calls.hs,4,0.4,122312.0,0.0,0.0,0.0,3416.0,0.0
evalexpr.hs,0,0.71,148140.0,0.06,0.0,0.07,6428.0,0.0
evalexpr.hs,1,0.4,122336.0,0.06,0.0,0.07,6200.0,0.0
evalexpr.hs,2,0.4,121864.0,0.07,0.0,0.07,6316.0,0.0
evalexpr.hs,3,0.39,121756.0,0.07,0.0,0.07,6152.0,0.0
evalexpr.hs,4,0.4,121924.0,0.06,0.0,0.07,6484.0,0.0
logic3.hs,0,0.56,141328.0,0.0,0.0,0.0,3404.0,0.0
logic3.hs,1,0.4,120872.0,0.0,0.0,0.0,3516.0,0.0
logic3.hs,2,0.41,121304.0,0.0,0.0,0.0,3252.0,0.0
logic3.hs,3,0.41,121712.0,0.0,0.0,0.0,3340.0,0.0
logic3.hs,4,0.41,121468.0,0.0,0.0,0.0,3376.0,0.0
bubblesort1000.hs,0,0.6,141928.0,0.5,0.0,0.51,5156.0,0.0
bubblesort1000.hs,1,0.4,121896.0,0.51,0.0,0.51,5320.0,0.0
bubblesort1000.hs,2,0.4,122288.0,0.5,0.0,0.5,5136.0,0.0
bubblesort1000.hs,3,0.39,121896.0,0.51,0.0,0.52,5152.0,0.0
bubblesort1000.hs,4,0.41,121908.0,0.52,0.0,0.52,5208.0,0.0
intnat.hs,0,8.84,430628.0,0.0,0.0,0.0,4816.0,0.0
intnat.hs,1,0.41,122708.0,0.0,0.0,0.0,4936.0,0.0
intnat.hs,2,0.41,122636.0,0.0,0.0,0.0,4816.0,0.0
intnat.hs,3,0.41,122744.0,0.0,0.0,0.0,4828.0,0.0
intnat.hs,4,0.41,123164.0,0.0,0.0,0.0,4884.0,0.0
hanoi12.hs,0,0.74,141044.0,0.0,0.0,0.0,4780.0,0.0
hanoi12.hs,1,0.41,122520.0,0.0,0.0,0.0,4784.0,0.0
hanoi12.hs,2,0.41,123164.0,0.0,0.0,0.0,4600.0,0.0
hanoi12.hs,3,0.41,121912.0,0.0,0.0,0.0,4584.0,0.0
hanoi12.hs,4,0.41,122176.0,0.0,0.0,0.0,4772.0,0.0
revnat100.hs,0,0.56,141140.0,0.0,0.0,0.0,4724.0,0.0
revnat100.hs,1,0.41,122080.0,0.0,0.0,0.0,4792.0,0.0
revnat100.hs,2,0.4,121916.0,0.0,0.0,0.0,4892.0,0.0
revnat100.hs,3,0.42,122328.0,0.0,0.0,0.0,4884.0,0.0
revnat100.hs,4,0.41,122172.0,0.0,0.0,0.0,4892.0,0.0
dart.hs,0,0.6,141984.0,0.0,0.0,0.0,5708.0,0.0
dart.hs,1,0.41,122348.0,0.01,0.0,0.01,5652.0,0.0
dart.hs,2,0.4,122032.0,0.0,0.0,0.0,5788.0,0.0
dart.hs,3,0.41,121796.0,0.0,0.0,0.0,5620.0,0.0
dart.hs,4,0.41,122464.0,0.0,0.0,0.0,5728.0,0.0
hanoi20.hs,0,0.75,141720.0,0.75,0.02,0.77,66808.0,0.0
hanoi20.hs,1,0.41,122792.0,0.74,0.02,0.77,66812.0,0.0
hanoi20.hs,2,0.39,122192.0,0.76,0.01,0.77,66796.0,0.0
hanoi20.hs,3,0.4,121884.0,0.72,0.03,0.75,66920.0,0.0
hanoi20.hs,4,0.4,122052.0,0.74,0.02,0.77,66820.0,0.0
sieve2000.hs,0,0.69,140696.0,0.21,0.0,0.21,5060.0,0.0
sieve2000.hs,1,0.4,122420.0,0.2,0.0,0.2,4896.0,0.0
sieve2000.hs,2,0.4,122768.0,0.2,0.0,0.2,4972.0,0.0
sieve2000.hs,3,0.4,122108.0,0.2,0.0,0.2,4960.0,0.0
sieve2000.hs,4,0.4,122932.0,0.22,0.0,0.22,4872.0,0.0
fibonacci05.hs,0,0.48,127440.0,0.0,0.0,0.0,3616.0,0.0
fibonacci05.hs,1,0.41,121760.0,0.0,0.0,0.0,3260.0,0.0
fibonacci05.hs,2,0.4,121712.0,0.0,0.0,0.0,3616.0,0.0
fibonacci05.hs,3,0.4,122116.0,0.0,0.0,0.0,3372.0,0.0
fibonacci05.hs,4,0.41,121968.0,0.0,0.0,0.0,3256.0,0.0
order.hs,0,0.51,140068.0,0.0,0.0,0.0,3348.0,0.0
